objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Adventure Time Card Wars: Finn vs. Jake","144728","0","","0","1","0","0","0","0","0","0","0","3","","Also own the BMO vs Rainicorn deck.","","","","100229321","5.64842","6.16908","1.7143","6243","2770","thing","Adventure Time Card Wars: Finn vs. Jake","2","2","30","30","30","2014","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228664","7.78496","7.9048","3.6372","42","81297","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Attack on Titan: The Last Stand","181254","5","","0","1","0","0","0","0","0","0","0","3","","The hero half of this game is really good. But the titan has very little chance of winning, and doesn't have any interesting choices.

I think I would like this game with some house rules to automate the titan and make it more difficult to beat.","","","","54926898","5.76869","6.61259","2.25","4360","1630","thing","Attack on Titan: The Last Stand","2","5","30","30","30","2017","3,4,5","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","B&N clearance","","","","","","","",""
"Azul","230802","0","","0","1","0","0","0","0","0","0","0","3","","","","","","54924796","7.6611","7.77335","1.7623","67","111679","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100231361","6.77328","6.91935","1.2782","674","35761","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Battleship","2425","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233159","4.73752","4.68184","1.2177","23473","15638","thing","Battleship","2","2","30","30","30","1931","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100229283","7.01987","7.20246","1.6852","405","21077","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Big Brain Academy Boardgame","30485","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233162","5.43845","4.67774","1.6","23009","440","thing","Big Brain Academy Boardgame","2","6","45","45","30","2007","2,3,4,5,6","4,6","8","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Blokus","2453","6","","0","1","0","0","0","0","1","0","0","3","","Parent's House","","","","67518083","6.72838","6.86355","1.7582","735","35035","thing","Blokus","2","4","20","20","20","2000","2,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blueprints","140933","6","","0","1","0","0","0","0","0","0","0","3","","","","","","100228334","6.50467","6.802","1.6858","1119","8661","thing","Blueprints","2","4","30","30","30","2013","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
