(('Streptopelia', 'US-HI'), (63162, 0.08262430684859792))
(('Paroaria', 'US-HI'), (56710, 0.07482965472785871))
(('Egretta', 'US-FL'), (1584927, 0.06870859645994784))
(('Pica', 'CA-AB'), (255731, 0.05895401381049007))
(('Himatione', 'US-HI'), (35689, 0.04775311613030657))
(('Stercorarius', 'CA-NU'), (8506, 0.04671249077088405))
(('Chlorodrepanis', 'US-HI'), (34136, 0.04572255504044029))
(('Pycnonotus', 'US-HI'), (33210, 0.044223854244881684))
(('Pluvialis', 'US-HI'), (55066, 0.04147103068937312))
(('Pica', 'US-MT'), (151463, 0.04138196509465335))
(('Saucerottia', 'MX-DIF'), (13512, 0.04082708930567625))
(('Calcarius', 'CA-NU'), (7884, 0.0390151259247993))
(('Eudocimus', 'US-FL'), (748567, 0.03666170269552063))
(('Lonchura', 'US-HI'), (27544, 0.036553894149154845))
(('Pica', 'US-CO'), (387306, 0.03610659032779194))
(('Pica', 'US-ID'), (118106, 0.035728995391992674))
(('Estrilda', 'US-HI'), (25833, 0.03479157418167083))
(('Ardea', 'US-FL'), (1419253, 0.03428110006088244))
(('Myiozetetes', 'MX-YUC'), (17857, 0.03382011665528747))
(('Aphelocoma', 'US-OR'), (374238, 0.03294534620030519))
(('Auriparus', 'US-AZ'), (386191, 0.03253681919620727))
(('Melozone', 'US-AZ'), (389922, 0.032069160913749284))
(('Gallus', 'US-HI'), (23926, 0.03201632772022707))
(('Larus', 'CA-QC'), (1334582, 0.03198315441385998))
(('Sicalis', 'US-HI'), (23701, 0.031936173137635276))
(('Myiozetetes', 'MX-VER'), (26189, 0.03177047048231087))
(('Cyanocorax', 'MX-YUC'), (18304, 0.03138094466099717))
(('Pica', 'US-UT'), (129642, 0.030896522834606283))
(('Thryothorus', 'US-NC'), (484010, 0.03052586930052209))
(('Mimus', 'US-TX'), (1153487, 0.03036984685341041))
(('Saltator', 'MX-YUC'), (15235, 0.030020626614558298))
(('Thraupis', 'MX-VER'), (23468, 0.029928367406171257))
(('Sula', 'US-HI'), (22650, 0.02955751738154052))
(('Calypte', 'US-AZ'), (394614, 0.029492492590861667))
(('Trogon', 'MX-CHP'), (15105, 0.029373927160652288))
(('Myiozetetes', 'MX-ROO'), (14919, 0.02930938231893837))
(('Lagopus', 'CA-NU'), (2948, 0.029157636002343904))
(('Thryothorus', 'US-VA'), (597727, 0.0290564159074855))
(('Amazilia', 'MX-YUC'), (15566, 0.028525813308541512))
(('Cyanocorax', 'MX-ROO'), (16069, 0.028474168542972873))
(('Thryothorus', 'US-GA'), (395603, 0.027922767695661172))
(('Ptiliogonys', 'MX-DIF'), (8935, 0.027752312243938405))
(('Anhinga', 'US-FL'), (553383, 0.027738229764324912))
(('Acanthis', 'US-AK'), (79359, 0.02759695637400324))
(('Dives', 'MX-ROO'), (13206, 0.02752622613788185))
(('Dives', 'MX-TAB'), (2719, 0.02736148294925398))
(('Padda', 'US-HI'), (20197, 0.02730665278293944))
(('Crithagra', 'US-HI'), (19880, 0.026883352241295604))
(('Dives', 'MX-YUC'), (13310, 0.02664845927304587))
(('Psilorhinus', 'MX-VER'), (20858, 0.02655721913444636))
(('Setophaga', 'US-FL'), (2139122, 0.02654787809241398))
(('Eupsittula', 'MX-TAB'), (2438, 0.026452556574162133))
(('Leucolia', 'MX-GUA'), (2377, 0.026291987244841546))
(('Cassiculus', 'MX-NAY'), (14557, 0.026213754022337128))
(('Plectrophenax', 'CA-NU'), (6824, 0.02603180136224766))
(('Cynanthus', 'MX-DIF'), (11230, 0.025815226276762134))
(('Columbina', 'MX-YUC'), (24156, 0.02543756628006402))
(('Pandion', 'US-FL'), (678520, 0.02543684664288841))
(('Calypte', 'US-CA'), (177000, 0.025417324394715748))
(('Phaethon', 'US-HI'), (18690, 0.025202668322799143))
(('Thryothorus', 'US-MD'), (543555, 0.025018602468224575))
(('Columbina', 'MX-NAY'), (25612, 0.02484297364824726))
(('Copsychus', 'US-HI'), (18329, 0.02481241385897489))
(('Pitangus', 'MX-NAY'), (17827, 0.024764809445230202))
(('Rissa', 'US-AK'), (61389, 0.024764432595469538))
(('Fregata', 'MX-ROO'), (13511, 0.024691186474019817))
(('Egretta', 'US-LA'), (171846, 0.02462640233184279))
(('Pitangus', 'MX-ROO'), (15335, 0.02457265289010412))
(('Rupornis', 'MX-TAB'), (2140, 0.024565485330820553))
(('Crotophaga', 'MX-YUC'), (12721, 0.024481385953364812))
(('Mimus', 'US-FL'), (833905, 0.02443904055051983))
(('Somateria', 'US-ME'), (127241, 0.024420470191711254))
(('Fregata', 'MX-NAY'), (15661, 0.024401228304948817))
(('Leiothrix', 'US-HI'), (17965, 0.024325639076765364))
(('Fregata', 'MX-BCS'), (9297, 0.024145236811062967))
(('Psilorhinus', 'MX-CAM'), (3386, 0.02379824954956977))
(('Callipepla', 'US-NV'), (49046, 0.02374124738400244))
(('Corvus', 'CA-QC'), (1498238, 0.023713132503262162))
(('Dives', 'MX-VER'), (18820, 0.023670236728021765))
(('Egretta', 'US-SC'), (195795, 0.023590223920424147))
(('Chasiempis', 'US-HI'), (17400, 0.023569593909253877))
(('Pitangus', 'MX-JAL'), (13974, 0.023422628692689223))
(('Cassiculus', 'MX-COL'), (2398, 0.023420930081764747))
(('Pica', 'CA-SK'), (43377, 0.02331493590956295))
(('Drepanis', 'US-HI'), (17194, 0.023293794837036044))
(('Callipepla', 'US-AZ'), (296681, 0.023242548966638042))
(('Gavia', 'US-AK'), (96618, 0.023101573971355788))
(('Calidris', 'US-AK'), (161419, 0.023100715675213823))
(('Aphelocoma', 'US-CA'), (153777, 0.022917306546061476))
(('Egretta', 'US-TX'), (810958, 0.02291058778213456))
(('Pitangus', 'MX-OAX'), (13943, 0.022875430421386775))
(('Columbina', 'MX-VER'), (29230, 0.022850731967937715))
(('Columbina', 'MX-JAL'), (20426, 0.022605878236179097))
(('Calypte', 'US-WA'), (331290, 0.022547235806783982))
(('Sporophila', 'MX-COL'), (2771, 0.022535478373154987))
(('Pitangus', 'MX-VER'), (21371, 0.022479257514520724))
(('Psilorhinus', 'MX-TAB'), (2052, 0.02242112403328552))
(('Eumomota', 'MX-YUC'), (10474, 0.022142120438479126))
(('Thryothorus', 'US-TN'), (264394, 0.022069820592261143))
(('Ortygornis', 'US-HI'), (16235, 0.022008844661343546))
(('Campylorhynchus', 'MX-BCS'), (10319, 0.021779735952695663))
(('Himantopus', 'US-HI'), (24471, 0.02177927491225456))
(('Larus', 'US-MA'), (953978, 0.02175696338141116))
(('Thryothorus', 'US-SC'), (251184, 0.02160442333226102))
(('Quiscalus', 'US-FL'), (1009672, 0.021575153027318765))
(('Pitangus', 'MX-YUC'), (13860, 0.021427610753289847))
(('Rupornis', 'MX-VER'), (16733, 0.021419632495600357))
(('Eupsittula', 'MX-CAM'), (3061, 0.02139436365441947))
(('Coragyps', 'US-FL'), (538801, 0.02127173652152267))
(('Larus', 'US-WA'), (948322, 0.021196366528871278))
(('Myiozetetes', 'MX-CAM'), (3772, 0.021139769583892142))
(('Calypte', 'US-OR'), (261811, 0.020973585677504708))
(('Larus', 'US-ME'), (470220, 0.020920800134687553))
(('Columbina', 'MX-OAX'), (19214, 0.0208646393226269))
(('Baeolophus', 'US-NC'), (416651, 0.02085378993095109))
(('Stercorarius', 'US-AK'), (52677, 0.02083579434009053))
