(('Zosterops', 'US-HI'), (82841, 0.23824908061810052))
(('Acridotheres', 'US-HI'), (89441, 0.2323554308390879))
(('Geopelia', 'US-HI'), (78346, 0.23173351110418214))
(('Paroaria', 'US-HI'), (56710, 0.197153452914032))
(('Himatione', 'US-HI'), (35689, 0.1564022889930928))
(('Chlorodrepanis', 'US-HI'), (34136, 0.15296136901240193))
(('Pycnonotus', 'US-HI'), (33210, 0.13400922009548968))
(('Estrilda', 'US-HI'), (25833, 0.13278554055940156))
(('Sicalis', 'US-HI'), (23701, 0.12399342044060693))
(('Padda', 'US-HI'), (20197, 0.1176473897343717))
(('Crithagra', 'US-HI'), (19880, 0.11665553229691783))
(('Egretta', 'US-FL'), (1584927, 0.11586098659964))
(('Copsychus', 'US-HI'), (18329, 0.1120830827456763))
(('Leiothrix', 'US-HI'), (17965, 0.11096453121431814))
(('Chasiempis', 'US-HI'), (17400, 0.10920562929216064))
(('Drepanis', 'US-HI'), (17194, 0.10855724190787057))
(('Auriparus', 'US-AZ'), (386191, 0.10770295895509838))
(('Gallus', 'US-HI'), (23926, 0.1069624195983281))
(('Lonchura', 'US-HI'), (27544, 0.10625776559832699))
(('Ortygornis', 'US-HI'), (16235, 0.10548633339756398))
(('Eudocimus', 'US-FL'), (748567, 0.10529024710504571))
(('Phaethon', 'US-HI'), (18690, 0.10121978397722813))
(('Anhinga', 'US-FL'), (553383, 0.09848070349450323))
(('Pternistis', 'US-HI'), (12575, 0.09283368860780557))
(('Melozone', 'US-AZ'), (389922, 0.09198147928518985))
(('Thraupis', 'MX-VER'), (23468, 0.08710820734959192))
(('Eumomota', 'MX-YUC'), (10474, 0.08534432928374534))
(('Melanoptila', 'MX-ROO'), (7434, 0.08230883417472273))
(('Euodice', 'US-HI'), (9657, 0.08135592422723473))
(('Aethia', 'US-AK'), (31286, 0.0805808377641032))
(('Alauda', 'US-HI'), (11496, 0.08042968889194242))
(('Phainopepla', 'US-AZ'), (200508, 0.08036383299790353))
(('Cassiculus', 'MX-NAY'), (14557, 0.07735239880255762))
(('Lophura', 'US-HI'), (8704, 0.0772061596082001))
(('Saucerottia', 'MX-DIF'), (13512, 0.07685182795769575))
(('Psilorhinus', 'MX-VER'), (20858, 0.07623519086028765))
(('Pica', 'CA-AB'), (255731, 0.07490208190846184))
(('Gygis', 'US-HI'), (8096, 0.07448621707868724))
(('Garrulax', 'US-HI'), (7663, 0.0724714380530884))
(('Sula', 'US-HI'), (22650, 0.07196141057980428))
(('Aphelocoma', 'US-OR'), (374238, 0.07185460265740078))
(('Fratercula', 'US-AK'), (48102, 0.07169311835041836))
(('Rissa', 'US-AK'), (61389, 0.07155460971883691))
(('Horornis', 'US-HI'), (7438, 0.07139955179379451))
(('Cynanthus', 'US-AZ'), (169574, 0.07069442407352022))
(('Mycteria', 'US-FL'), (284639, 0.07057817836624634))
(('Phaeoptila', 'MX-OAX'), (5903, 0.07048151969649011))
(('Diglossa', 'MX-DIF'), (5831, 0.06956354297212888))
(('Campylorhynchus', 'US-AZ'), (200611, 0.06914756920753301))
(('Loxops', 'US-HI'), (6903, 0.06878380141557361))
(('Cyclarhis', 'MX-YUC'), (9274, 0.06776235094703241))
(('Psarocolius', 'MX-VER'), (11310, 0.06757508385778627))
(('Rupornis', 'MX-VER'), (16733, 0.06734534792330682))
(('Psittacula', 'US-HI'), (7725, 0.06725567616187242))
(('Pica', 'US-CO'), (387306, 0.06657638022343397))
(('Aramus', 'US-FL'), (184399, 0.0664286997328357))
(('Gallinula', 'US-FL'), (389659, 0.06339601396074217))
(('Ptiliogonys', 'MX-DIF'), (8935, 0.06329523601890326))
(('Calypte', 'US-AZ'), (394614, 0.06154504975053657))
(('Phoenicopterus', 'MX-YUC'), (6156, 0.06145511383819494))
(('Myiozetetes', 'MX-VER'), (26189, 0.061169141985550075))
(('Caracara', 'US-TX'), (249608, 0.060752768851739504))
(('Callipepla', 'US-AZ'), (296681, 0.060291445329893154))
(('Francolinus', 'US-HI'), (5267, 0.06008255645918227))
(('Pyrocephalus', 'US-AZ'), (194003, 0.06002790592703453))
(('Dives', 'MX-VER'), (18820, 0.05975994228121707))
(('Anous', 'US-HI'), (8424, 0.058361312942779235))
(('Coereba', 'MX-ROO'), (5172, 0.05701997924270145))
(('Penelopina', 'MX-CHP'), (2859, 0.05562042343791428))
(('Saltator', 'MX-YUC'), (15235, 0.05552333441069901))
(('Amphispiza', 'US-AZ'), (137441, 0.05519641906380938))
(('Doricha', 'MX-YUC'), (3645, 0.05486129105379191))
(('Dives', 'MX-ROO'), (13206, 0.05476338389408597))
(('Chamaea', 'US-CA'), (57649, 0.05463407529568441))
(('Dives', 'MX-YUC'), (13310, 0.054013546103365874))
(('Dendrocygna', 'US-TX'), (286328, 0.05345609794848858))
(('Myiozetetes', 'MX-YUC'), (17857, 0.05330377569633467))
(('Stercorarius', 'US-AK'), (52677, 0.05264198185026791))
(('Euphonia', 'MX-VER'), (14613, 0.05257525793395867))
(('Cantorchilus', 'MX-CHP'), (2490, 0.05117960566901888))
(('Somateria', 'US-ME'), (127241, 0.050747697069761184))
(('Bubulcus', 'US-FL'), (314435, 0.05017404257406565))
(('Trogon', 'MX-CHP'), (15105, 0.05001135916790832))
(('Thalasseus', 'US-FL'), (312316, 0.04966639275106899))
(('Ramphocelus', 'MX-CHP'), (3192, 0.04956880059865672))
(('Pica', 'US-MT'), (151463, 0.04903449586351411))
(('Uria', 'US-AK'), (48810, 0.04877241293063606))
(('Calypte', 'US-WA'), (331290, 0.04841322150526474))
(('Thryophilus', 'MX-NAY'), (8364, 0.0483734311580518))
(('Saltator', 'MX-VER'), (16768, 0.04770564941267432))
(('Megarynchus', 'MX-VER'), (10933, 0.04769664389582994))
(('Mimus', 'US-TX'), (1153487, 0.04765970332294351))
(('Brachyramphus', 'US-AK'), (32064, 0.04762495509067157))
(('Calocitta', 'MX-NAY'), (8320, 0.047596262221077934))
(('Laterallus', 'MX-VER'), (5532, 0.047561915397783094))
(('Phaethornis', 'MX-CHP'), (4249, 0.047257631693913005))
(('Stercorarius', 'CA-NU'), (8506, 0.047052045573263965))
(('Amandava', 'US-HI'), (3185, 0.046721936492297875))
(('Henicorhina', 'MX-CHP'), (5552, 0.04642186591487748))
(('Pandion', 'US-FL'), (678520, 0.04634644168039508))
(('Elanoides', 'US-FL'), (111055, 0.0459502165144383))
(('Motacilla', 'US-AK'), (11761, 0.04593295296284023))
(('Cassiculus', 'MX-JAL'), (7581, 0.04561730033341374))
(('Lagopus', 'US-AK'), (20473, 0.045500970035597645))
(('Myiozetetes', 'MX-ROO'), (14919, 0.04543987196660421))
(('Thraupis', 'MX-CHP'), (9577, 0.04542129935190788))
(('Pitangus', 'US-TX'), (187667, 0.04540581506473652))
(('Eugenes', 'US-AZ'), (59432, 0.04520820901626564))
(('Cyanocorax', 'US-TX'), (150451, 0.04510671645267932))
