(('Caracara lutosa', 'MX-BCN'), (3, 1.0))
(('Zenaida graysoni', 'MX-COL'), (1, 1.0))
(('Junco insularis', 'MX-BCN'), (35, 1.0))
(('Momotus coeruliceps/lessonii', 'MX-VER'), (81, 1.0))
(('Turdus rufitorques', 'MX-CHP'), (4170, 1.0))
(('Cyrtonyx ocellatus', 'MX-CHP'), (57, 1.0))
(('Icterus maculialatus', 'MX-CHP'), (571, 1.0))
(('Aspatha gularis', 'MX-CHP'), (1767, 1.0))
(('Cardellina versicolor', 'MX-CHP'), (749, 1.0))
(('Zonotrichia capensis', 'MX-CHP'), (6213, 1.0))
(('Lophornis brachylophus', 'MX-GRO'), (117, 1.0))
(('Melanotis hypoleucus', 'MX-CHP'), (2001, 1.0))
(('Doricha enicura', 'MX-CHP'), (349, 1.0))
(('Micrastur sp.', 'MX-GRO'), (1, 1.0))
(('Quiscalus palustris', 'MX-MEX'), (1, 1.0))
(('Campylorhynchus chiapensis', 'MX-CHP'), (1593, 1.0))
(('Elaenia martinica', 'MX-ROO'), (1148, 1.0))
(('Cynanthus forficatus', 'MX-ROO'), (2880, 1.0))
(('Vireo bairdi', 'MX-ROO'), (1657, 1.0))
(('Spinus atriceps', 'MX-CHP'), (96, 1.0))
(('Toxostoma guttatum', 'MX-ROO'), (63, 1.0))
(('Turdus plebejus', 'MX-CHP'), (647, 1.0))
(('Troglodytes rufociliatus', 'MX-CHP'), (2231, 1.0))
(('Brotogeris jugularis', 'MX-CHP'), (1445, 1.0))
(('Selasphorus ellioti', 'MX-CHP'), (724, 1.0))
(('Cyanolyca pumilo', 'MX-CHP'), (1300, 1.0))
(('Aegolius ridgwayi', 'MX-CHP'), (148, 1.0))
(('Poecilostreptus cabanisi', 'MX-CHP'), (644, 1.0))
(('Zimmerius vilissimus', 'MX-CHP'), (1516, 1.0))
(('Melozone biarcuata', 'MX-CHP'), (546, 1.0))
(('Thryophilus rufalbus', 'MX-CHP'), (655, 1.0))
(('Basileuterus delattrii', 'MX-CHP'), (412, 1.0))
(('Melozone leucotis', 'MX-CHP'), (1281, 1.0))
(('Xenotriccus callizonus', 'MX-CHP'), (688, 1.0))
(('Leptotila cassinii', 'MX-CHP'), (395, 1.0))
(('Thamnistes anabatinus', 'MX-CHP'), (83, 1.0))
(('Catharus dryas', 'MX-CHP'), (1501, 1.0))
(('Pipridae sp.', 'MX-CHP'), (5, 1.0))
(('Ortalis leucogastra', 'MX-CHP'), (1128, 1.0))
(('Geothlypis beldingi', 'MX-BCS'), (2371, 1.0))
(('Megascops barbarus', 'MX-CHP'), (213, 1.0))
(('Junco bairdi', 'MX-BCS'), (215, 1.0))
(('Cyanerpes lucidus', 'MX-CHP'), (9, 1.0))
(('Basileuterus rufifrons/delattrii', 'MX-CHP'), (272, 1.0))
(('Oreophasis derbianus', 'MX-CHP'), (906, 1.0))
(('Atlapetes sp.', 'MX-DIF'), (1, 1.0))
(('Saucerottia cyanura', 'MX-CHP'), (370, 1.0))
(('Mimus graysoni', 'MX-COL'), (26, 1.0))
(('Troglodytes sissonii', 'MX-COL'), (63, 1.0))
(('Psittacara brevipes', 'MX-COL'), (23, 1.0))
(('Dendrortyx leucophrys', 'MX-CHP'), (64, 1.0))
(('Harpia harpyja', 'MX-CHP'), (3, 1.0))
(('Lurocalis semitorquatus', 'MX-CHP'), (52, 1.0))
(('Eupherusa cyanophrys', 'MX-OAX'), (781, 1.0))
(('Zentrygon carrikeri', 'MX-VER'), (573, 1.0))
(('Nyctibius grandis', 'MX-CHP'), (51, 1.0))
(('Elaenia frantzii', 'MX-CHP'), (103, 1.0))
(('Furnariidae sp. (foliage-gleaner sp.)', 'MX-OAX'), (1, 1.0))
(('Euphonia minuta', 'MX-CHP'), (16, 1.0))
(('Dryobates scalaris x villosus', 'MX-BCN'), (1, 1.0))
(('Troglodytes tanneri', 'MX-COL'), (42, 1.0))
(('Hydrobates cheimomnestes', 'MX-BCN'), (9, 1.0))
(('Anhinga rufa', 'MX-BCN'), (2, 1.0))
(('Myrmotherula schisticolor', 'MX-CHP'), (11, 1.0))
(('Pachyramphus polychopterus', 'MX-CHP'), (11, 1.0))
(('Sporophila schistacea', 'MX-CHP'), (3, 1.0))
(('Cynanthus latirostris/doubledayi', 'MX-GRO'), (6, 1.0))
(('Dendrocolaptes picumnus', 'MX-CHP'), (3, 1.0))
(('Amazona auropalliata', 'MX-NLE'), (1, 1.0))
(('Ara macao/chloropterus', 'MX-VER'), (4, 1.0))
(('Phaeoptila sordida/Cynanthus doubledayi', 'MX-GRO'), (1, 1.0))
(('Furnariidae sp.', 'MX-OAX'), (1, 1.0))
(('Cracidae sp.', 'MX-JAL'), (1, 1.0))
(('Pionus sp.', 'MX-CAM'), (2, 1.0))
(('Ciccaba sp.', 'MX-YUC'), (3, 1.0))
(('Icterus bullockii x abeillei', 'MX-DUR'), (1, 1.0))
(('Aramides albiventris/cajaneus', 'MX-VER'), (2, 1.0))
(('Thamnophilidae sp. (antshrike sp.)', 'MX-CHP'), (2, 1.0))
(('Calocitta colliei/formosa', 'MX-JAL'), (2, 1.0))
(('Acridotheres cristatellus', 'CA-BC'), (2271, 1.0))
(('Tringa totanus', 'CA-NL'), (51, 1.0))
(('Milvus milvus/migrans', 'CA-NL'), (1, 1.0))
(('Numenius tenuirostris', 'CA-ON'), (1, 1.0))
