(('Acridotheres', 'US-HI'), (89441, 0.11461046387210966))
(('Zosterops', 'US-HI'), (82841, 0.10746334064077256))
(('Geopelia', 'US-HI'), (78346, 0.10193081365159329))
(('Paroaria', 'US-HI'), (56710, 0.07483279737400533))
(('Egretta', 'US-FL'), (1584927, 0.0689136794475531))
(('Pica', 'CA-AB'), (255731, 0.059029155114750015))
(('Himatione', 'US-HI'), (35689, 0.047755180257638294))
(('Stercorarius', 'CA-NU'), (8506, 0.046717788509342675))
(('Chlorodrepanis', 'US-HI'), (34136, 0.04572453561148404))
(('Pycnonotus', 'US-HI'), (33210, 0.04422628490414601))
(('Pluvialis', 'US-HI'), (55066, 0.041508368456693014))
(('Pica', 'US-MT'), (151463, 0.04145464988287641))
(('Bubulcus', 'US-HI'), (48950, 0.04098886718122144))
(('Saucerottia', 'MX-DIF'), (13512, 0.040829870343403116))
(('Calcarius', 'CA-NU'), (7884, 0.03902087653254837))
(('Eudocimus', 'US-FL'), (748567, 0.036733594535019676))
(('Lonchura', 'US-HI'), (27544, 0.036556563681845254))
(('Pica', 'US-CO'), (387306, 0.03619421518461756))
(('Pica', 'US-ID'), (118106, 0.035799481588490514))
(('Ardea', 'US-FL'), (1419253, 0.03483446707892194))
(('Estrilda', 'US-HI'), (25833, 0.0347931049035615))
(('Myiozetetes', 'MX-YUC'), (17857, 0.0338264610414045))
(('Aphelocoma', 'US-OR'), (374238, 0.033013061587494626))
(('Larus', 'CA-QC'), (1334582, 0.032619425987679605))
(('Auriparus', 'US-AZ'), (386191, 0.032569045146556126))
(('Melozone', 'US-AZ'), (389922, 0.032112492404044166))
(('Gallus', 'US-HI'), (23926, 0.03201834243117311))
(('Sicalis', 'US-HI'), (23701, 0.031937655787815454))
(('Myiozetetes', 'MX-VER'), (26189, 0.03177712107386792))
(('Cyanocorax', 'MX-YUC'), (18304, 0.03139169256940221))
(('Pica', 'US-UT'), (129642, 0.03097230165687062))
(('Thryothorus', 'US-NC'), (484010, 0.0308212702624764))
(('Mimus', 'US-TX'), (1153487, 0.030706097426175465))
(('Streptopelia', 'US-HI'), (63162, 0.030282524255441264))
(('Saltator', 'MX-YUC'), (15235, 0.030025079993054822))
(('Thraupis', 'MX-VER'), (23468, 0.02993115524499843))
(('Calypte', 'US-AZ'), (394614, 0.029577457763273887))
(('Sula', 'US-HI'), (22650, 0.029561405693084047))
(('Thryothorus', 'US-VA'), (597727, 0.029380104835555795))
(('Trogon', 'MX-CHP'), (15105, 0.029379248083342375))
(('Myiozetetes', 'MX-ROO'), (14919, 0.02931572472094924))
(('Lagopus', 'CA-NU'), (2948, 0.029159643621225757))
(('Amazilia', 'MX-YUC'), (15566, 0.028533617307973796))
(('Cyanocorax', 'MX-ROO'), (16069, 0.02848485869177439))
(('Thryothorus', 'US-GA'), (395603, 0.028200502780276613))
(('Anhinga', 'US-FL'), (553383, 0.027785144182853976))
(('Ptiliogonys', 'MX-DIF'), (8935, 0.027754180352669442))
(('Acanthis', 'US-AK'), (79359, 0.02763373463460815))
(('Dives', 'MX-ROO'), (13206, 0.02752987628799424))
(('Setophaga', 'US-FL'), (2139122, 0.027508839436122267))
(('Dives', 'MX-TAB'), (2719, 0.027364118610506902))
(('Padda', 'US-HI'), (20197, 0.027307858636766328))
(('Crithagra', 'US-HI'), (19880, 0.02688454123870368))
(('Dives', 'MX-YUC'), (13310, 0.0266521231535125))
(('Psilorhinus', 'MX-VER'), (20858, 0.02656009778844224))
(('Eupsittula', 'MX-TAB'), (2438, 0.026454773341735023))
(('Leucolia', 'MX-GUA'), (2377, 0.0262940168960598))
(('Cassiculus', 'MX-NAY'), (14557, 0.0262156826662423))
(('Plectrophenax', 'CA-NU'), (6824, 0.026038496517766487))
(('Cynanthus', 'MX-DIF'), (11230, 0.025825812484003122))
(('Pandion', 'US-FL'), (678520, 0.025629948254566236))
(('Calypte', 'US-CA'), (177000, 0.02549720322504469))
(('Columbina', 'MX-YUC'), (24156, 0.025465024401840782))
(('Thryothorus', 'US-MD'), (543555, 0.025343702586495258))
(('Phaethon', 'US-HI'), (18690, 0.025204061977063))
(('Columbina', 'MX-NAY'), (25612, 0.024872402028774873))
(('Copsychus', 'US-HI'), (18329, 0.024813512214348465))
(('Pitangus', 'MX-NAY'), (17827, 0.02478000941457147))
(('Rissa', 'US-AK'), (61389, 0.02477335855722621))
(('Egretta', 'US-LA'), (171846, 0.024771096643524077))
(('Mimus', 'US-FL'), (833905, 0.024768011261521835))
(('Fregata', 'MX-ROO'), (13511, 0.02470055529529498))
(('Pitangus', 'MX-ROO'), (15335, 0.024587151942259043))
(('Rupornis', 'MX-TAB'), (2140, 0.024567368494861814))
(('Corvus', 'CA-QC'), (1498238, 0.024507652892762837))
(('Crotophaga', 'MX-YUC'), (12721, 0.024486899711415287))
(('Somateria', 'US-ME'), (127241, 0.024455368269587576))
(('Fregata', 'MX-NAY'), (15661, 0.024410888976767648))
(('Leiothrix', 'US-HI'), (17965, 0.024326716421891895))
(('Fregata', 'MX-BCS'), (9297, 0.02415378455644872))
(('Psilorhinus', 'MX-CAM'), (3386, 0.02380071357895852))
(('Callipepla', 'US-NV'), (49046, 0.023783842044107883))
(('Egretta', 'US-SC'), (195795, 0.0237488188442128))
(('Dives', 'MX-VER'), (18820, 0.023674006953838797))
(('Chasiempis', 'US-HI'), (17400, 0.023570638579237618))
(('Pitangus', 'MX-JAL'), (13974, 0.02343689463029575))
(('Cassiculus', 'MX-COL'), (2398, 0.02342260298221036))
(('Pica', 'CA-SK'), (43377, 0.023366237758326164))
(('Streptopelia', 'US-CO'), (292678, 0.023320705918912537))
(('Callipepla', 'US-AZ'), (296681, 0.023296523442089143))
(('Drepanis', 'US-HI'), (17194, 0.023294827574496184))
(('Calidris', 'US-AK'), (161419, 0.023261397846620523))
(('Gavia', 'US-AK'), (96618, 0.023196612739712904))
(('Egretta', 'US-TX'), (810958, 0.023133859589100626))
(('Aphelocoma', 'US-CA'), (153777, 0.0229826020347381))
(('Pitangus', 'MX-OAX'), (13943, 0.02288981790150323))
(('Columbina', 'MX-VER'), (29230, 0.022884673475095325))
(('Calypte', 'US-WA'), (331290, 0.02263313016251654))
(('Columbina', 'MX-JAL'), (20426, 0.022631989802852383))
(('Sporophila', 'MX-COL'), (2771, 0.022538594110634885))
(('Pitangus', 'MX-VER'), (21371, 0.022495600480594544))
(('Psilorhinus', 'MX-TAB'), (2052, 0.022423305002490942))
(('Larus', 'US-MA'), (953978, 0.02235390251501341))
(('Thryothorus', 'US-TN'), (264394, 0.022313070799879424))
(('Eumomota', 'MX-YUC'), (10474, 0.022143088444475788))
(('Quiscalus', 'US-FL'), (1009672, 0.022067498206561217))
(('Ortygornis', 'US-HI'), (16235, 0.022009821713754804))
(('Thryothorus', 'US-SC'), (251184, 0.02184192565285538))
(('Himantopus', 'US-HI'), (24471, 0.02180715902506568))
(('Larus', 'US-WA'), (948322, 0.021795302166476092))
(('Campylorhynchus', 'MX-BCS'), (10319, 0.0217929733317966))
(('Zenaida', 'US-TX'), (1669430, 0.02151160425233018))
(('Pitangus', 'MX-YUC'), (13860, 0.021442322498333704))
(('Rupornis', 'MX-VER'), (16733, 0.021422031540907792))
(('Coragyps', 'US-FL'), (538801, 0.02141567949283571))
(('Eupsittula', 'MX-CAM'), (3061, 0.021396891540261982))
(('Larus', 'US-ME'), (470220, 0.021282853267351347))
(('Zenaida', 'US-AZ'), (916998, 0.021221872710720725))
(('Baeolophus', 'US-NC'), (416651, 0.021185281794941703))
(('Myiozetetes', 'MX-CAM'), (3772, 0.021144577168825503))
(('Calypte', 'US-OR'), (261811, 0.021058586006862622))
(('Columbina', 'MX-OAX'), (19214, 0.02089118048574271))
(('Stercorarius', 'US-AK'), (52677, 0.020847642248023195))
(('Saltator', 'MX-VER'), (16768, 0.02082993851310695))
(('Calypte', 'CA-BC'), (254365, 0.020762907172423246))
(('Melozone', 'MX-DIF'), (14639, 0.020753201174831107))
(('Myiozetetes', 'MX-NAY'), (12527, 0.020706608395269985))
(('Melozone', 'US-CA'), (129054, 0.02068994863786329))
