(('Zosterops', 'US-HI'), (82841, 0.23847670963703943))
(('Acridotheres', 'US-HI'), (89441, 0.23263784335266885))
(('Geopelia', 'US-HI'), (78346, 0.23195548547385236))
(('Paroaria', 'US-HI'), (56710, 0.1973452664487898))
(('Himatione', 'US-HI'), (35689, 0.156556728626448))
(('Chlorodrepanis', 'US-HI'), (34136, 0.15311257596462385))
(('Pycnonotus', 'US-HI'), (33210, 0.13421331019949662))
(('Estrilda', 'US-HI'), (25833, 0.13291868477365795))
(('Egretta', 'US-FL'), (1584927, 0.12956551051417753))
(('Sicalis', 'US-HI'), (23701, 0.12413094847461621))
(('Padda', 'US-HI'), (20197, 0.1177648623929943))
(('Crithagra', 'US-HI'), (19880, 0.1167723007911951))
(('Copsychus', 'US-HI'), (18329, 0.11219511131835501))
(('Eudocimus', 'US-FL'), (748567, 0.11181225920303864))
(('Leiothrix', 'US-HI'), (17965, 0.11107546984464531))
(('Auriparus', 'US-AZ'), (386191, 0.11082997317972859))
(('Chasiempis', 'US-HI'), (17400, 0.10931485230331617))
(('Drepanis', 'US-HI'), (17194, 0.1086658319669066))
(('Gallus', 'US-HI'), (23926, 0.10716167184755929))
(('Lonchura', 'US-HI'), (27544, 0.10650595228482897))
(('Ortygornis', 'US-HI'), (16235, 0.10559192191026631))
(('Anhinga', 'US-FL'), (553383, 0.10335082592036714))
(('Phaethon', 'US-HI'), (18690, 0.10137174219715067))
(('Melozone', 'US-AZ'), (389922, 0.09613901696883331))
(('Pternistis', 'US-HI'), (12575, 0.09292686320822248))
(('Thraupis', 'MX-VER'), (23468, 0.08738655890758759))
(('Eumomota', 'MX-YUC'), (10474, 0.08545852606311388))
(('Phainopepla', 'US-AZ'), (200508, 0.08247795270784904))
(('Melanoptila', 'MX-ROO'), (7434, 0.08238277392836452))
(('Euodice', 'US-HI'), (9657, 0.08143773080349909))
(('Aethia', 'US-AK'), (31286, 0.08085149421136405))
(('Alauda', 'US-HI'), (11496, 0.08054571592700628))
(('Pica', 'CA-AB'), (255731, 0.07897083457114351))
(('Cassiculus', 'MX-NAY'), (14557, 0.07755352350595748))
(('Aphelocoma', 'US-OR'), (374238, 0.07751481560198342))
(('Lophura', 'US-HI'), (8704, 0.07728397007586567))
(('Saucerottia', 'MX-DIF'), (13512, 0.07706004286513615))
(('Psilorhinus', 'MX-VER'), (20858, 0.07653079784124536))
(('Gygis', 'US-HI'), (8096, 0.07456121528739873))
(('Mycteria', 'US-FL'), (284639, 0.0740927579660053))
(('Pica', 'US-CO'), (387306, 0.0730405479842928))
(('Cynanthus', 'US-AZ'), (169574, 0.0728192148396881))
(('Garrulax', 'US-HI'), (7663, 0.07254441133840304))
(('Rissa', 'US-AK'), (61389, 0.07248767804804408))
(('Fratercula', 'US-AK'), (48102, 0.07237556950505326))
(('Sula', 'US-HI'), (22650, 0.07232006718929265))
(('Campylorhynchus', 'US-AZ'), (200611, 0.07193053264090095))
(('Horornis', 'US-HI'), (7438, 0.07147145693268561))
