(('Perdix', 'CA-AB'), (12219, 25.343879044710196))
(('Pica', 'CA-AB'), (255731, 17.566391650723197))
(('Perisoreus', 'CA-AB'), (21425, 8.791355113083869))
(('Picoides', 'CA-AB'), (7930, 8.701991393413504))
(('Tetraoninae', 'CA-AB'), (118, 8.56602232066194))
(('Coturnicops', 'CA-AB'), (947, 8.30064704102716))
(('Pinicola', 'CA-AB'), (16662, 7.363549628284478))
(('Xanthocephalus', 'CA-AB'), (32356, 6.889620416191235))
(('Chlidonias', 'CA-AB'), (17438, 6.562814949716977))
(('Rhynchophanes', 'CA-AB'), (997, 5.9040376279620155))
(('Canachites', 'CA-AB'), (1851, 5.650088343251075))
(('Recurvirostra', 'CA-AB'), (24602, 5.119623346289399))
(('Tympanuchus', 'CA-AB'), (2703, 5.100951089342199))
(('Oporornis', 'CA-AB'), (1460, 5.047771608151321))
(('Acanthis', 'CA-AB'), (31854, 4.9817105281654825))
(('Nucifraga', 'CA-AB'), (7775, 4.8201766003401145))
(('Porzana', 'CA-AB'), (23901, 4.798873421790598))
(('Limosa', 'CA-AB'), (15251, 4.667908491427543))
(('Podiceps', 'CA-AB'), (71943, 4.646157484927389))
(('Cinclus', 'CA-AB'), (5478, 4.631211536008999))
(('Phalaropus', 'CA-AB'), (21649, 4.448423728525955))
(('Ammospiza', 'CA-AB'), (11102, 4.430129061223723))
(('Loxia', 'CA-AB'), (20120, 4.046053336159282))
(('Anatinae', 'CA-AB'), (12113, 3.8000281010841177))
(('Gallinago', 'CA-AB'), (32830, 3.7908257963017276))
(('Bonasa', 'CA-AB'), (14629, 3.6554829974926824))
(('Pooecetes', 'CA-AB'), (19069, 3.5669019295308555))
(('Leucophaeus', 'CA-AB'), (66081, 3.3821704533350303))
(('Bucephala', 'CA-AB'), (149429, 3.296086949892283))
(('Spatula', 'CA-AB'), (133967, 3.270936182427067))
(('Mareca', 'CA-AB'), (115768, 2.9317205244533495))
(('Aythya', 'CA-AB'), (157958, 2.8530758805890546))
(('Aegolius', 'CA-AB'), (2520, 2.85242295113483))
(('Calcarius', 'CA-AB'), (6286, 2.8302442800314536))
(('Aquila', 'CA-AB'), (6341, 2.801627137039774))
(('Bubo', 'CA-AB'), (27177, 2.7873678490846725))
(('Himantopus', 'CA-AB'), (16465, 2.6871155360747316))
(('Passerculus', 'CA-AB'), (56696, 2.68009161528479))
(('Phasianus', 'CA-AB'), (15419, 2.662337738732857))
(('Leucosticte', 'CA-AB'), (1775, 2.575829638921613))
(('Oxyura', 'CA-AB'), (35155, 2.5377826583035956))
(('Fulica', 'CA-AB'), (70378, 2.487787750880659))
(('Euphagus', 'CA-AB'), (29032, 2.456494992502404))
(('Asio', 'CA-AB'), (4049, 2.417153624561274))
(('Aechmophorus', 'CA-AB'), (13180, 2.375537876206018))
(('Lagopus', 'CA-AB'), (878, 2.2778404724036716))
(('Riparia', 'CA-AB'), (13113, 2.2329054812640132))
(('Coccothraustes', 'CA-AB'), (10123, 2.127099035167349))
(('Myadestes', 'CA-AB'), (6605, 2.0870405110468178))
(('Bombycilla', 'CA-AB'), (81515, 2.0447876151237656))
(('Centronyx', 'CA-AB'), (1611, 2.044449839749044))
(('Histrionicus', 'CA-AB'), (4392, 2.026351860987005))
(('Actitis', 'CA-AB'), (34677, 1.954479713999818))
(('Plectrophenax', 'CA-AB'), (6433, 1.9534187540403436))
(('Cypseloides', 'CA-AB'), (414, 1.8947758615383699))
(('Anser/Branta', 'CA-AB'), (350, 1.8096647666664731))
(('Empidonax', 'CA-AB'), (58962, 1.783089399480135))
(('Ixoreus', 'CA-AB'), (6070, 1.7557976269409556))
(('Passerellidae', 'CA-AB'), (4202, 1.723934155924113))
(('Glaucidium', 'CA-AB'), (1572, 1.713689064585427))
(('Bartramia', 'CA-AB'), (2032, 1.7031760651148675))
(('Strigiformes', 'CA-AB'), (169, 1.6677931219434246))
(('Anas', 'CA-AB'), (264799, 1.667105598516303))
(('Mergus', 'CA-AB'), (54101, 1.651907544322645))
