Bird,State,Count,Score
Larus,CA-NL,141539,0.097346
Calidris,CA-NU,13951,0.079205
Larus,CA-NU,15086,0.072358
Acridotheres,US-HI,89440,0.061408
Zosterops,US-HI,82840,0.056892
Geopelia,US-HI,78346,0.053805
Stercorarius,CA-NU,8505,0.053021
Larus,CA-NS,277123,0.049267
Calcarius,CA-NU,7884,0.049070
Larus,CA-NB,106988,0.047117
Gavia,CA-NU,8013,0.046976
Larus,CA-PE,18742,0.044646
Somateria,CA-NU,7084,0.043540
Anser,CA-NU,7032,0.042317
Plectrophenax,CA-NU,6824,0.042265
Larus,US-RI,134161,0.041915
Larus,US-AK,293920,0.040281
Streptopelia,US-HI,63162,0.040106
Egretta,US-FL,1584817,0.039978
Paroaria,US-HI,56710,0.038947
Pica,CA-AB,255731,0.036786
Corvus,CA-NL,80962,0.036479
Pluvialis,US-HI,55064,0.036366
Branta,CA-NU,8562,0.036258
Icterus,MX-ROO,36911,0.035627
Clangula,CA-NU,5788,0.035466
Icterus,MX-COL,6753,0.033493
Pluvialis,CA-NU,5556,0.033294
Bubulcus,US-HI,48950,0.032495
Setophaga,MX-ROO,60327,0.031410
Corvus,CA-NS,245151,0.031277
Corvus,CA-PE,17684,0.031189
Pyrocephalus,MX-HID,1410,0.031050
Icterus,MX-YUC,34165,0.030921
Anas,CA-NL,64609,0.030870
Tringa,CA-PE,10461,0.030809
Corvus,CA-NB,96654,0.030717
Columbina,MX-COL,5354,0.030031
Columbina,MX-QUE,2452,0.029593
Larus,US-ME,470161,0.029462
Pyrocephalus,MX-AGU,1483,0.029145
Zenaida,MX-COA,4103,0.028985
Setophaga,US-ME,593940,0.028640
Larus,CA-NT,11573,0.028622
Columbina,MX-HID,1310,0.028167
Icterus,MX-SLP,2205,0.028127
Calidris,CA-PE,10136,0.027919
Pica,US-MT,151463,0.027148
Columbina,MX-MOR,4751,0.027063
Columbina,MX-GUA,3825,0.026962
Icterus,MX-OAX,28109,0.026833
Junco,CA-NL,45233,0.026774
Icterus,MX-MIC,5792,0.026687
Pitangus,MX-TAB,3613,0.026680
Larus,MX-BCN,32499,0.026606
Eremophila,CA-NU,4481,0.026458
Pyrocephalus,MX-QUE,2148,0.026410
Zenaida,MX-ZAC,379,0.026135
Larus,CA-QC,1334355,0.026134
Pyrocephalus,MX-TLA,344,0.026118
Calidris,US-AK,160956,0.026008
Corvus,CA-NT,13154,0.025879
Thryomanes,MX-DIF,16696,0.025586
Icterus,MX-MOR,5244,0.025292
Columbina,MX-GRO,2935,0.025073
Columbina,MX-MIC,4652,0.024973
Columbina,MX-DIF,15934,0.024938
Pyrocephalus,MX-PUE,2362,0.024890
Icterus,MX-GRO,3438,0.024874
Icterus,MX-TAB,4099,0.024850
Pyrocephalus,MX-GUA,3444,0.024793
Himatione,US-HI,35689,0.024510
Egretta,MX-BCS,17185,0.024354
Columbina,MX-YUC,23711,0.024353
Pica,US-ID,118106,0.024293
Zonotrichia,CA-NT,8332,0.023847
Thryomanes,MX-COA,2010,0.023809
Pyrocephalus,MX-MIC,4332,0.023809
Setophaga,US-FL,2139095,0.023713
Ardea,US-FL,1419010,0.023682
Columbina,MX-AGU,1238,0.023593
Icterus,MX-TAM,5131,0.023469
Haemorhous,MX-TLA,501,0.023463
Chlorodrepanis,US-HI,34136,0.023443
Sayornis,MX-COA,2465,0.023414
Columbina,MX-PUE,2266,0.023216
Columbina,MX-JAL,20336,0.023165
Icterus,MX-JAL,24172,0.023055
Melozone,MX-DIF,14639,0.023007
Thryothorus,US-NC,484010,0.022890
Anas,US-AK,219036,0.022831
Pycnonotus,US-HI,33210,0.022795
Icterus,MX-CAM,6722,0.022779
Melospiza,CA-NS,169890,0.022469
Columbina,MX-NAY,25394,0.022446
Columbina,MX-TAB,3138,0.022338
Cynanthus,MX-GUA,3074,0.022315
Thryothorus,US-GA,395603,0.022254
Egretta,MX-TAB,3713,0.022130
Saucerottia,MX-DIF,13512,0.022121
Corvus,CA-QC,1498228,0.022102
Setophaga,US-NH,285427,0.022070
Bucephala,CA-YT,20352,0.022039
Tyrannus,MX-MOR,4727,0.022033
Melozone,MX-TLA,297,0.022025
Pica,CA-SK,43377,0.021982
Zenaida,MX-AGU,2261,0.021977
Columbina,MX-MEX,5386,0.021652
Psaltriparus,MX-DIF,13737,0.021534
Anas,CA-YT,31823,0.021502
Mimus,US-AL,130529,0.021478
Pyrocephalus,MX-MEX,5171,0.021378
Melozone,MX-ZAC,171,0.021296
Columbina,MX-OAX,19205,0.021162
Melozone,MX-MEX,5196,0.021040
Setophaga,CA-NS,223478,0.021029
Toxostoma,MX-ZAC,193,0.021017
Sayornis,MX-BCN,19345,0.021012
Pitangus,MX-NLE,6671,0.020651
Columbina,MX-ZAC,166,0.020448
Columbina,MX-SIN,5726,0.020419
Antigone,CA-NU,3562,0.020416
Melozone,MX-PUE,1982,0.020348
Dives,MX-TAB,2719,0.020331
Thryothorus,US-SC,251184,0.020168
Pica,US-CO,387306,0.020122
Thryothorus,US-TN,264394,0.020119
Setophaga,CA-NB,87435,0.020107
Thryothorus,US-VA,597727,0.020089
Zenaida,MX-GUA,5895,0.020088
Egretta,US-LA,171844,0.020015
Pelecanus,MX-BCS,13093,0.019944
Eudocimus,US-FL,748541,0.019929
Tyrannus,MX-OAX,22334,0.019919
Passer,US-HI,46683,0.019905
Poecile,US-VT,296739,0.019890
Icterus,MX-NAY,27685,0.019869
Tyrannus,MX-NAY,27726,0.019727
Pica,US-UT,129642,0.019686
Passer,CA-SK,57184,0.019676
Quiscalus,MX-ROO,29994,0.019666
Icterus,MX-BCS,14548,0.019553
Tyrannus,MX-ROO,22741,0.019488
Haemorhous,US-NM,259544,0.019487
Thryothorus,US-AL,127076,0.019447
Cyanocorax,MX-YUC,18304,0.019441
Melozone,MX-MIC,3633,0.019429
Setophaga,CA-PE,15673,0.019390
Pyrocephalus,MX-ZAC,153,0.019389
Setophaga,CA-NT,12729,0.019386
Pyrocephalus,MX-COA,1556,0.019260
Larus,US-MA,953627,0.019206
Tyrannus,MX-COA,1984,0.019195
Myiozetetes,MX-YUC,17857,0.019101
Tyrannus,MX-TAB,3348,0.019029
Aythya,CA-YT,18969,0.018885
Lonchura,US-HI,27459,0.018832
