Bird,State,Count,Score
Pica,CA-AB,255731,0.036786
Corvus,CA-AB,333093,0.018666
Poecile,CA-AB,273431,0.016563
Anas,CA-AB,264745,0.016506
Bucephala,CA-AB,148856,0.015791
Aythya,CA-AB,155041,0.015535
Spatula,CA-AB,133449,0.014106
Mareca,CA-AB,115670,0.011606
Branta,CA-AB,189411,0.011343
Podiceps,CA-AB,71572,0.008555
Sitta,CA-AB,163991,0.007629
Leucophaeus,CA-AB,66081,0.007087
Fulica,CA-AB,70378,0.006400
Passer,CA-AB,122567,0.006391
Bombycilla,CA-AB,81436,0.006316
Spizella,CA-AB,115002,0.006315
Colaptes,CA-AB,114739,0.005685
Passerculus,CA-AB,56696,0.005406
Buteo,CA-AB,131931,0.004739
Xanthocephalus,CA-AB,32356,0.004217
Tringa,CA-AB,69406,0.004037
Acanthis,CA-AB,31671,0.003880
Empidonax,CA-AB,57535,0.003865
Turdus,CA-AB,181191,0.003821
Tachycineta,CA-AB,79907,0.003711
Gallinago,CA-AB,32830,0.003682
Columba,CA-AB,69786,0.003619
Mergus,CA-AB,54097,0.003260
Oxyura,CA-AB,35155,0.003240
Recurvirostra,CA-AB,24602,0.003017
Perisoreus,CA-AB,21425,0.002895
Porzana,CA-AB,23901,0.002883
Bubo,CA-AB,27177,0.002651
Euphagus,CA-AB,29029,0.002619
Actitis,CA-AB,34677,0.002570
Phalaropus,CA-AB,21649,0.002562
Loxia,CA-AB,20120,0.002308
Chlidonias,CA-AB,17438,0.002253
Dryobates,CA-AB,162808,0.002212
Pinicola,CA-AB,16662,0.002195
Pooecetes,CA-AB,19069,0.002090
Limosa,CA-AB,15251,0.001826
Falco,CA-AB,55854,0.001801
Perdix,CA-AB,12219,0.001790
Circus,CA-AB,32188,0.001790
Troglodytes,CA-AB,55086,0.001687
Leiothlypis,CA-AB,42069,0.001640
Bonasa,CA-AB,14628,0.001619
Himantopus,CA-AB,16464,0.001572
Phasianus,CA-AB,15419,0.001464
Anatinae,CA-AB,12113,0.001359
Ammospiza,CA-AB,11094,0.001317
Aechmophorus,CA-AB,13148,0.001218
Riparia,CA-AB,13113,0.001100
Anser,CA-AB,18746,0.001093
Picoides,CA-AB,7861,0.001060
Pelecanus,CA-AB,26764,0.001059
Sturnella,CA-AB,31252,0.000968
Nucifraga,CA-AB,7775,0.000939
Cygnus,CA-AB,24759,0.000874
Haliaeetus,CA-AB,45552,0.000825
Coccothraustes,CA-AB,10123,0.000815
Petrochelidon,CA-AB,17231,0.000771
Cinclus,CA-AB,5478,0.000654
Calcarius,CA-AB,6286,0.000619
Aquila,CA-AB,6175,0.000597
Anthus,CA-AB,9836,0.000585
Cardellina,CA-AB,16715,0.000580
Myadestes,CA-AB,6605,0.000522
Eremophila,CA-AB,14141,0.000519
Plectrophenax,CA-AB,6433,0.000477
Chroicocephalus,CA-AB,10957,0.000431
Ixoreus,CA-AB,6070,0.000397
Asio,CA-AB,4049,0.000361
Histrionicus,CA-AB,4392,0.000338
Tympanuchus,CA-AB,2703,0.000331
Zonotrichia,CA-AB,86111,0.000292
Plegadis,CA-AB,9252,0.000278
Passerellidae,CA-AB,4202,0.000267
Aegolius,CA-AB,2520,0.000249
Canachites,CA-AB,1851,0.000232
Limnodromus,CA-AB,9571,0.000200
Oporornis,CA-AB,1460,0.000178
Leucosticte,CA-AB,1775,0.000165
Bartramia,CA-AB,2032,0.000127
Coturnicops,CA-AB,947,0.000127
Rhynchophanes,CA-AB,997,0.000126
Centronyx,CA-AB,1611,0.000125
Glaucidium,CA-AB,1572,0.000099
Lagopus,CA-AB,878,0.000075
Accipitridae,CA-AB,1643,0.000072
Charadriiformes,CA-AB,1241,0.000069
Catharus,CA-AB,39604,0.000069
Sterna,CA-AB,16701,0.000064
Lanius,CA-AB,10975,0.000052
Molothrus,CA-AB,47505,0.000050
Picidae,CA-AB,1222,0.000042
Dendragapus,CA-AB,715,0.000033
Cypseloides,CA-AB,414,0.000030
Xema,CA-AB,527,0.000021
Calamospiza,CA-AB,1056,0.000018
Tetraoninae,CA-AB,118,0.000016
Strigiformes,CA-AB,169,0.000010
Parkesia,CA-AB,9923,0.000004
Sibirionetta,CA-AB,1,-0.000000
Botaurus,CA-AB,2763,-0.000000
Charadriidae,CA-AB,8,-0.000001
Corvidae,CA-AB,2,-0.000001
Melopsittacus,CA-AB,1,-0.000002
Fringilla,CA-AB,27,-0.000003
Numida,CA-AB,3,-0.000003
Podicipedidae,CA-AB,34,-0.000004
Scolopacidae,CA-AB,5,-0.000005
Apodidae,CA-AB,3,-0.000005
Psittaciformes,CA-AB,2,-0.000007
Carduelis,CA-AB,6,-0.000007
Ardeidae,CA-AB,3,-0.000007
Grus,CA-AB,177,-0.000008
Anatidae,CA-AB,532,-0.000011
Columbidae,CA-AB,2,-0.000022
Fringillidae,CA-AB,60,-0.000023
