Bird,State,Count,Score
Aspatha,MX-CHP,1767,0.998715
Zimmerius,MX-CHP,1516,0.998715
Oreophasis,MX-CHP,906,0.998714
Poecilostreptus,MX-CHP,644,0.998714
Penelopina,MX-CHP,2859,0.998367
Zosterops,US-HI,82840,0.998084
Geopelia,US-HI,78346,0.998077
Atticora,MX-CHP,1549,0.998070
Himatione,US-HI,35689,0.998018
Chlorodrepanis,US-HI,34136,0.998016
Paroaria,US-HI,56710,0.998012
Pharomachrus,MX-CHP,1420,0.998011
Copsychus,US-HI,18329,0.997994
Leiothrix,US-HI,17965,0.997993
Chasiempis,US-HI,17400,0.997993
Drepanis,US-HI,17194,0.997992
Ortygornis,US-HI,16235,0.997991
Pternistis,US-HI,12575,0.997986
Euodice,US-HI,9657,0.997982
Lophura,US-HI,8704,0.997980
Garrulax,US-HI,7663,0.997979
Horornis,US-HI,7438,0.997979
Loxops,US-HI,6901,0.997978
Francolinus,US-HI,5267,0.997976
Amandava,US-HI,3185,0.997973
Hemignathus,US-HI,2508,0.997972
Paroreomyza,US-HI,2097,0.997971
Magumma,US-HI,1914,0.997971
Loxioides,US-HI,1839,0.997971
Glaucestrilda,US-HI,1066,0.997970
Pterocles,US-HI,1002,0.997970
Palmeria,US-HI,429,0.997969
Pterorhinus,US-HI,393,0.997969
Aerodramus,US-HI,291,0.997969
Oreomystis,US-HI,254,0.997969
Pseudonestor,US-HI,221,0.997969
Larosterna,US-HI,150,0.997969
Gygis,US-HI,8096,0.997856
Padda,US-HI,20197,0.997848
Crithagra,US-HI,19880,0.996891
Tetraogallus,US-NV,672,0.995959
Bulweria,US-HI,2282,0.994478
Estrilda,US-HI,25798,0.993951
Muscicapa,US-AK,281,0.993406
Microcerculus,MX-CHP,295,0.991979
Phaeochroa,MX-CHP,413,0.991502
Calliope,US-AK,331,0.990394
Cyanoliseus,US-HI,129,0.990276
Hydropsalis,MX-VER,1182,0.989500
Aethia,US-AK,31286,0.980888
Microrhopias,MX-CHP,797,0.975429
Luscinia,US-AK,3311,0.974157
Dysithamnus,MX-CHP,273,0.973713
Cantorchilus,MX-CHP,2490,0.970613
Carpodacus,US-AK,202,0.964560
Parus,US-WI,729,0.959756
Chiroxiphia,MX-CHP,1147,0.951372
Melanospiza,US-FL,1164,0.949413
Tachornis,US-FL,290,0.949412
Gracula,US-FL,2142,0.948948
Lymnocryptes,US-AK,192,0.948630
Creagrus,US-WA,488,0.945093
Sicalis,US-HI,23701,0.944640
Thectocercus,US-FL,6770,0.938608
Xenospiza,MX-DIF,1255,0.938523
Ara,US-FL,2611,0.934698
Aratinga,US-FL,47057,0.934259
Rhytipterna,MX-CHP,604,0.930812
Ficedula,US-AK,119,0.930414
Pyrrhula,US-AK,101,0.928591
Polysticta,US-AK,7277,0.928283
Abeillia,MX-CHP,1239,0.928197
Phylloscopus,US-AK,6210,0.926688
