Bird,State,Count,Score
Perdix,CA-AB,12219,0.223521
Pica,CA-AB,255731,0.152417
Perisoreus,CA-AB,21425,0.071520
Picoides,CA-AB,7861,0.070393
Tetraoninae,CA-AB,118,0.069424
Coturnicops,CA-AB,947,0.066988
Pinicola,CA-AB,16662,0.058401
Xanthocephalus,CA-AB,32356,0.054068
Chlidonias,CA-AB,17438,0.051182
Rhynchophanes,CA-AB,997,0.044979
Canachites,CA-AB,1851,0.042648
Recurvirostra,CA-AB,24602,0.037802
Tympanuchus,CA-AB,2703,0.037710
Acanthis,CA-AB,31671,0.037616
Oporornis,CA-AB,1460,0.037116
Nucifraga,CA-AB,7775,0.035033
Porzana,CA-AB,23901,0.034855
Limosa,CA-AB,15251,0.033691
Podiceps,CA-AB,71572,0.033454
Cinclus,CA-AB,5478,0.033295
Ammospiza,CA-AB,11094,0.032472
Phalaropus,CA-AB,21649,0.031944
Loxia,CA-AB,20120,0.027961
Anatinae,CA-AB,12113,0.025668
Gallinago,CA-AB,32830,0.025622
Bonasa,CA-AB,14628,0.024376
Pooecetes,CA-AB,19069,0.023534
Leucophaeus,CA-AB,66081,0.021888
Bucephala,CA-AB,148856,0.021192
Spatula,CA-AB,133449,0.020933
Mareca,CA-AB,115670,0.017826
Aythya,CA-AB,155041,0.017792
Aegolius,CA-AB,2520,0.016996
Calcarius,CA-AB,6286,0.016755
Bubo,CA-AB,27177,0.016380
Aquila,CA-AB,6175,0.015962
Himantopus,CA-AB,16464,0.015448
Passerculus,CA-AB,56696,0.015420
Phasianus,CA-AB,15419,0.015221
Leucosticte,CA-AB,1775,0.014415
Aechmophorus,CA-AB,13148,0.014259
Oxyura,CA-AB,35155,0.014093
Fulica,CA-AB,70378,0.013663
Euphagus,CA-AB,29029,0.013372
Asio,CA-AB,4049,0.013171
Lagopus,CA-AB,876,0.011825
Riparia,CA-AB,13113,0.011274
Coccothraustes,CA-AB,10123,0.010331
Myadestes,CA-AB,6605,0.009929
Bombycilla,CA-AB,81436,0.009587
Centronyx,CA-AB,1611,0.009534
Histrionicus,CA-AB,4392,0.009370
Actitis,CA-AB,34677,0.008738
Plectrophenax,CA-AB,6433,0.008710
Cypseloides,CA-AB,414,0.008196
Empidonax,CA-AB,57535,0.007284
Ixoreus,CA-AB,6070,0.006925
Anas,CA-AB,264743,0.006816
Anser,CA-AB,18699,0.006813
Glaucidium,CA-AB,1572,0.006627
Passerellidae,CA-AB,4202,0.006592
Bartramia,CA-AB,2032,0.006400
Poecile,CA-AB,273431,0.006220
Branta,CA-AB,189411,0.006057
Mergus,CA-AB,54097,0.006042
Anthus,CA-AB,9836,0.005910
Tringa,CA-AB,69387,0.005714
Corvus,CA-AB,333093,0.005522
Charadriiformes,CA-AB,1241,0.005321
Circus,CA-AB,32188,0.005297
Spizella,CA-AB,115002,0.005237
Passer,CA-AB,122567,0.004839
Columba,CA-AB,69786,0.004773
Colaptes,CA-AB,114739,0.004479
Sitta,CA-AB,163991,0.004107
Tachycineta,CA-AB,79907,0.004061
Dendragapus,CA-AB,715,0.003959
Petrochelidon,CA-AB,17231,0.003827
Accipitridae,CA-AB,1643,0.003731
Pelecanus,CA-AB,26764,0.003228
Chroicocephalus,CA-AB,10957,0.003198
Leiothlypis,CA-AB,42069,0.003173
Xema,CA-AB,527,0.003170
Eremophila,CA-AB,14141,0.002920
Buteo,CA-AB,131931,0.002874
Cygnus,CA-AB,24759,0.002780
Cardellina,CA-AB,16715,0.002716
Picidae,CA-AB,1222,0.002696
Falco,CA-AB,55854,0.002479
Sturnella,CA-AB,31252,0.002349
Troglodytes,CA-AB,55086,0.002321
Plegadis,CA-AB,9252,0.002258
Turdus,CA-AB,181191,0.001506
Limnodromus,CA-AB,9571,0.001451
Haliaeetus,CA-AB,45552,0.001239
Calamospiza,CA-AB,1056,0.001114
Dryobates,CA-AB,162808,0.000910
Lanius,CA-AB,10971,0.000285
Sterna,CA-AB,16701,0.000227
Zonotrichia,CA-AB,86111,0.000200
Catharus,CA-AB,39604,0.000095
Molothrus,CA-AB,47505,0.000054
Parkesia,CA-AB,9923,0.000010
Botaurus,CA-AB,2763,-0.000022
Spizelloides,CA-AB,12874,-0.000205
Sphyrapicus,CA-AB,18282,-0.000213
Agelaius,CA-AB,108519,-0.000290
Gavia,CA-AB,20677,-0.000336
Numenius,CA-AB,3775,-0.000495
Larus,CA-AB,136857,-0.000646
Charadrius,CA-AB,58243,-0.000804
Corthylio,CA-AB,31692,-0.000844
Tyrannus,CA-AB,35950,-0.001045
Salpinctes,CA-AB,2037,-0.001131
Anatidae,CA-AB,532,-0.001139
Accipiter,CA-AB,27851,-0.001364
Junco,CA-AB,63920,-0.001447
Cistothorus,CA-AB,10104,-0.001449
Passeriformes,CA-AB,1772,-0.001456
Seiurus,CA-AB,12805,-0.001672
Sturnus,CA-AB,86227,-0.001816
Haemorhous,CA-AB,82134,-0.001846
Dryocopus,CA-AB,23426,-0.001858
Regulus,CA-AB,14407,-0.001867
Grus,CA-AB,177,-0.001958
Contopus,CA-AB,22573,-0.002085
Selasphorus,CA-AB,7797,-0.002300
Lophodytes,CA-AB,13537,-0.002307
Nycticorax,CA-AB,6469,-0.002462
Pandion,CA-AB,23023,-0.002596
Chordeiles,CA-AB,4450,-0.002673
Spinus,CA-AB,101194,-0.002829
Setophaga,CA-AB,169219,-0.002876
Hirundo,CA-AB,33950,-0.002953
Melospiza,CA-AB,94545,-0.003112
Cyanocitta,CA-AB,94079,-0.003134
Certhia,CA-AB,9542,-0.003217
Calidris,CA-AB,35541,-0.003237
Hirundinidae,CA-AB,2415,-0.003294
Antigone,CA-AB,8071,-0.003342
Fringilla,CA-AB,27,-0.003343
Stelgidopteryx,CA-AB,10522,-0.003517
Pheucticus,CA-AB,13588,-0.003579
Vireo,CA-AB,54066,-0.003627
Nannopterum,CA-AB,33988,-0.003685
Streptopelia,CA-AB,12724,-0.003957
Podilymbus,CA-AB,14526,-0.003982
Pluvialis,CA-AB,5505,-0.004206
Geothlypis,CA-AB,27195,-0.004258
Parulidae,CA-AB,1043,-0.004880
Megaceryle,CA-AB,16885,-0.005061
Chondestes,CA-AB,2313,-0.005117
Progne,CA-AB,5354,-0.005233
Dumetella,CA-AB,21787,-0.005393
Icterus,CA-AB,15676,-0.005590
Phalaenoptilus,CA-AB,189,-0.005647
Aix,CA-AB,10869,-0.005704
Melanitta,CA-AB,5323,-0.005752
Piranga,CA-AB,9594,-0.005790
Sialia,CA-AB,17481,-0.005998
Dolichonyx,CA-AB,1825,-0.006164
Mniotilta,CA-AB,5845,-0.006226
Quiscalus,CA-AB,29818,-0.006381
Passerella,CA-AB,2698,-0.006545
Ardea,CA-AB,33193,-0.006571
Ammodramus,CA-AB,768,-0.006774
Sayornis,CA-AB,11960,-0.007223
Archilochus,CA-AB,6400,-0.007390
Clangula,CA-AB,1065,-0.007405
Hydroprogne,CA-AB,1702,-0.007458
Hydrocoloeus,CA-AB,54,-0.007537
Strix,CA-AB,1275,-0.007577
Toxostoma,CA-AB,4248,-0.007859
Scolopacidae,CA-AB,5,-0.007950
Zenaida,CA-AB,23520,-0.008025
Alectoris,CA-AB,40,-0.008103
Carduelis,CA-AB,6,-0.008167
Icteria,CA-AB,550,-0.008233
Rallus,CA-AB,606,-0.008366
Troglodytidae,CA-AB,17,-0.008368
Apodidae,CA-AB,3,-0.008383
Rissa,CA-AB,121,-0.008444
Stercorarius,CA-AB,151,-0.008485
Pipilo,CA-AB,4226,-0.008555
Oreoscoptes,CA-AB,53,-0.008660
Arenaria,CA-AB,414,-0.008677
Cathartes,CA-AB,5474,-0.008718
Meleagris,CA-AB,722,-0.008786
Psittaciformes,CA-AB,2,-0.008839
Passerina,CA-AB,1431,-0.008919
Artemisiospiza,CA-AB,11,-0.008977
Synthliboramphus,CA-AB,5,-0.009005
Coccyzus,CA-AB,232,-0.009037
Myiarchus,CA-AB,650,-0.009042
Calypte,CA-AB,289,-0.009068
Columbidae,CA-AB,2,-0.009118
Sternula,CA-AB,36,-0.009154
Megascops,CA-AB,27,-0.009171
Protonotaria,CA-AB,25,-0.009177
Patagioenas,CA-AB,19,-0.009187
Caracara,CA-AB,17,-0.009197
