Bird,State,Count,Score
Lophornis brachylophus,MX-GRO,117,0.999844
Geothlypis beldingi,MX-BCS,2371,0.999206
Junco bairdi,MX-BCS,215,0.999203
Eupherusa cyanophrys,MX-OAX,781,0.998803
Cynanthus forficatus,MX-ROO,2880,0.998764
Vireo bairdi,MX-ROO,1657,0.998762
Elaenia martinica,MX-ROO,1148,0.998761
Zonotrichia capensis,MX-CHP,6213,0.998721
Turdus rufitorques,MX-CHP,4170,0.998718
Troglodytes rufociliatus,MX-CHP,2231,0.998716
Melanotis hypoleucus,MX-CHP,2001,0.998715
Aspatha gularis,MX-CHP,1767,0.998715
Campylorhynchus chiapensis,MX-CHP,1593,0.998715
Zimmerius vilissimus,MX-CHP,1516,0.998715
Catharus dryas,MX-CHP,1501,0.998715
Brotogeris jugularis,MX-CHP,1445,0.998715
Cyanolyca pumilo,MX-CHP,1300,0.998714
Melozone leucotis,MX-CHP,1281,0.998714
Ortalis leucogastra,MX-CHP,1128,0.998714
Oreophasis derbianus,MX-CHP,906,0.998714
Cardellina versicolor,MX-CHP,749,0.998714
Selasphorus ellioti,MX-CHP,724,0.998714
Xenotriccus callizonus,MX-CHP,688,0.998714
Thryophilus rufalbus,MX-CHP,655,0.998714
Turdus plebejus,MX-CHP,647,0.998714
Poecilostreptus cabanisi,MX-CHP,644,0.998714
Icterus maculialatus,MX-CHP,571,0.998713
Melozone biarcuata,MX-CHP,546,0.998713
Basileuterus delattrii,MX-CHP,412,0.998713
Leptotila cassinii,MX-CHP,395,0.998713
Saucerottia cyanura,MX-CHP,370,0.998713
Doricha enicura,MX-CHP,349,0.998713
Megascops barbarus,MX-CHP,213,0.998713
Aegolius ridgwayi,MX-CHP,148,0.998713
Elaenia frantzii,MX-CHP,103,0.998713
Penelopina nigra,MX-CHP,2859,0.998367
Zosterops japonicus,US-HI,82840,0.998084
Geopelia striata,US-HI,78346,0.998077
Atticora pileata,MX-CHP,1549,0.998070
Himatione sanguinea,US-HI,35689,0.998018
Pharomachrus mocinno,MX-CHP,1420,0.998011
Chlorodrepanis virens,US-HI,29234,0.998009
Fulica alai,US-HI,22293,0.997999
Branta sandvicensis,US-HI,18412,0.997994
Copsychus malabaricus,US-HI,18329,0.997994
Leiothrix lutea,US-HI,17965,0.997993
Drepanis coccinea,US-HI,17194,0.997992
Paroaria capitata,US-HI,17012,0.997992
Ortygornis pondicerianus,US-HI,16235,0.997991
Myadestes obscurus,US-HI,16063,0.997991
Chasiempis sandwichensis,US-HI,13102,0.997987
Pternistis erckelii,US-HI,12575,0.997986
Euodice cantans,US-HI,9657,0.997982
Lophura leucomelanos,US-HI,8704,0.997980
Garrulax canorus,US-HI,7663,0.997979
Horornis diphone,US-HI,7438,0.997979
Buteo solitarius,US-HI,6308,0.997977
Francolinus francolinus,US-HI,5267,0.997976
Anas wyvilliana,US-HI,4557,0.997975
Paroaria coronata,US-HI,39698,0.997973
Loxops mana,US-HI,3468,0.997973
Amandava amandava,US-HI,3185,0.997973
Chasiempis sclateri,US-HI,3099,0.997973
Loxops coccineus,US-HI,2926,0.997972
Chlorodrepanis flava,US-HI,2697,0.997972
Hemignathus wilsoni,US-HI,2508,0.997972
Chlorodrepanis stejnegeri,US-HI,2205,0.997971
Paroreomyza montana,US-HI,2097,0.997971
Magumma parva,US-HI,1914,0.997971
Loxioides bailleui,US-HI,1839,0.997971
Chasiempis ibidis,US-HI,1199,0.997970
Glaucestrilda caerulescens,US-HI,1066,0.997970
Pterocles exustus,US-HI,1002,0.997970
Loxops caeruleirostris,US-HI,507,0.997969
Palmeria dolei,US-HI,429,0.997969
Pterodroma nigripennis,US-HI,416,0.997969
Pterorhinus pectoralis,US-HI,393,0.997969
Aerodramus bartschi,US-HI,291,0.997969
Oreomystis bairdi,US-HI,254,0.997969
Pseudonestor xanthophrys,US-HI,221,0.997969
Onychoprion lunatus,US-HI,158,0.997969
Larosterna inca,US-HI,150,0.997969
Estrilda astrild,US-HI,25340,0.997925
Zentrygon carrikeri,MX-VER,573,0.997888
Lonchura atricapilla,US-HI,10156,0.997884
Gygis alba,US-HI,8096,0.997856
Padda oryzivora,US-HI,20197,0.997848
Turdus viscivorus,CA-NB,293,0.997843
Gallus gallus,US-HI,9785,0.997471
Crithagra mozambica,US-HI,19880,0.996891
Lampornis viridipallens,MX-CHP,2245,0.996494
Melozone albicollis,MX-OAX,11837,0.996374
Tetraogallus himalayensis,US-NV,672,0.995959
Puffinus newelli,US-HI,972,0.995916
Pachyramphus cinnamomeus,MX-CHP,334,0.995728
Phaethon rubricauda,US-HI,5484,0.995611
Sicalis flaveola,US-HI,23701,0.994805
Bulweria bulwerii,US-HI,2282,0.994478
Loxia sinesciuris,US-ID,2084,0.993750
Urile urile,US-AK,12099,0.993423
Onychoprion aleuticus,US-AK,7065,0.993416
Aethia pygmaea,US-AK,669,0.993407
Muscicapa griseisticta,US-AK,281,0.993406
Phylloscopus collybita,US-AK,205,0.993406
Anthus gustavi,US-AK,140,0.993406
Cuculus optatus,US-AK,133,0.993406
Phylloscopus trochilus,US-AK,109,0.993406
Somateria fischeri,US-AK,5432,0.993230
Aethia pusilla,US-AK,9479,0.993208
Fregata minor,US-HI,12160,0.992831
Pterodroma neglecta,US-HI,179,0.992413
Microcerculus philomela,MX-CHP,295,0.991979
Phaeochroa cuvierii,MX-CHP,413,0.991502
Calliope calliope,US-AK,331,0.990394
Cyanoliseus patagonus,US-HI,129,0.990276
Aethia cristatella,US-AK,10114,0.989873
Vireo magister,MX-ROO,5376,0.989735
Actitis hypoleucos,US-AK,799,0.989667
Hydropsalis maculicaudus,MX-VER,1182,0.989500
Rissa brevirostris,US-AK,6747,0.989430
Turdus obscurus,US-AK,881,0.988888
Brachyramphus brevirostris,US-AK,5066,0.988502
Pica nuttalli,US-CA,17869,0.985109
Aphelocoma insularis,US-CA,924,0.985085
Eupherusa poliocerca,MX-GRO,318,0.984365
Phylloscopus borealis,US-AK,5694,0.983847
Haliaeetus albicilla,US-AK,431,0.981939
Pterodroma sp. (Cookilaria sp.),US-HI,422,0.981652
Vanellus chilensis,MX-CHP,108,0.980531
Anthus hodgsoni,US-AK,563,0.979396
Polioptila albiventris,MX-YUC,2221,0.979282
Cyanolyca nanus,MX-OAX,874,0.978624
Microrhopias quixensis,MX-CHP,797,0.975429
Laterallus exilis,MX-VER,1793,0.974470
Luscinia svecica,US-AK,3311,0.974157
Pterodroma externa,US-HI,605,0.973776
Dysithamnus mentalis,MX-CHP,273,0.973713
Strix sartorii,MX-NAY,155,0.973344
Acridotheres cristatellus,CA-BC,2271,0.973163
Melanitta nigra,US-OR,285,0.972672
Cantorchilus modestus,MX-CHP,2490,0.970613
Aimophila notosticta,MX-OAX,1192,0.970279
Basilinna xantusii,MX-BCS,4183,0.969968
Agapornis personatus,US-AZ,186,0.969072
Campylorhynchus yucatanicus,MX-YUC,3155,0.968882
Pampa rufa,MX-CHP,813,0.967725
Falco vespertinus,US-MA,139,0.967353
Carpodacus erythrinus,US-AK,202,0.964560
Dryobates nuttallii,US-CA,74045,0.962497
Fratercula corniculata,US-AK,22891,0.962082
Aethia psittacula,US-AK,11024,0.961798
Parus major,US-WI,729,0.959756
Motacilla citreola,CA-BC,130,0.958008
Motacilla tschutschensis,US-AK,6802,0.954965
Chiroxiphia linearis,MX-CHP,1147,0.951372
Numenius madagascariensis,US-AK,154,0.949928
Amazona amazonica,US-FL,2592,0.949415
Myiarchus sagrae,US-FL,1277,0.949413
Melanospiza bicolor,US-FL,1164,0.949413
Mimus gundlachii,US-FL,892,0.949413
Psittacara leucophthalmus,US-FL,852,0.949413
Vireo crassirostris,US-FL,821,0.949413
Turdus plumbeus,US-FL,526,0.949412
Contopus caribaeus,US-FL,522,0.949412
Geotrygon chrysia,US-FL,402,0.949412
Tachornis phoenicobia,US-FL,290,0.949412
Psittacara finschi,US-FL,257,0.949412
Psittacara wagleri,US-FL,185,0.949412
Vireo gundlachii,US-FL,166,0.949412
Tyrannus caudifasciatus,US-FL,119,0.949412
Aphelocoma coerulescens,US-FL,30709,0.949387
Porphyrio poliocephalus,US-FL,24556,0.949240
Gracula religiosa,US-FL,2142,0.948948
Lymnocryptes minimus,US-AK,192,0.948630
Calidris subminuta,US-AK,511,0.948547
Ardenna pacifica,US-HI,11949,0.948506
Asio clamator,MX-VER,899,0.948206
Ara ararauna,US-FL,1458,0.947360
Gallinago gallinago,US-AK,1574,0.946193
Pterodroma cervicalis,US-HI,145,0.945681
Creagrus furcatus,US-WA,488,0.945093
Corvus splendens,US-FL,376,0.944121
Coccyzus melacoryphus,US-FL,162,0.943277
Streptopelia chinensis,US-HI,63162,0.943128
Puffinus nativitatis,US-HI,224,0.943116
Amazona aestiva,US-FL,129,0.941719
Thectocercus acuticaudatus,US-FL,6770,0.938608
Xenospiza baileyi,MX-DIF,1255,0.938523
Chroicocephalus cirrocephalus,US-NY,125,0.935967
Peucaea carpalis,US-AZ,73068,0.935743
Brotogeris versicolurus,US-FL,1916,0.935011
Aratinga nenday,US-FL,47057,0.934259
Phaethon lepturus,US-HI,12724,0.934056
Rhytipterna holerythra,MX-CHP,604,0.930812
Ficedula albicilla,US-AK,119,0.930414
Pyrrhula pyrrhula,US-AK,101,0.928591
Polysticta stelleri,US-AK,7277,0.928283
Abeillia abeillei,MX-CHP,1239,0.928197
Anous minutus,US-HI,6260,0.924835
Chordeiles gundlachii,US-FL,2305,0.924457
Chlorophanes spiza,MX-CHP,869,0.924166
Cyanocorax dickeyi,MX-SIN,942,0.924068
Cotinga amabilis,MX-CHP,361,0.921987
Hydrobates homochroa,US-CA,2162,0.920613
Sula sula,US-HI,11029,0.919447
Ara severus,US-FL,1153,0.919135
Baeolophus atricristatus,US-TX,365712,0.918914
Coccothraustes coccothraustes,US-AK,781,0.916575
Baeolophus wollweberi,US-AZ,147289,0.913571
Spermestes cucullata,US-TX,120,0.913567
Calothorax pulcher,MX-OAX,706,0.912128
Malacoptila panamensis,MX-CHP,494,0.911837
Lophostrix cristata,MX-CHP,124,0.910478
Dendrortyx barbatus,MX-VER,636,0.910370
Peucaea mystacalis,MX-OAX,2814,0.910075
Hydrobates pelagicus,US-NC,107,0.909574
Toxostoma longirostre,US-TX,118995,0.909207
Toxostoma redivivum,US-CA,30314,0.906692
Empidonax flavescens,MX-CHP,2309,0.904561
Agapornis roseicollis,US-AZ,23043,0.903949
Setophaga chrysoparia,US-TX,21281,0.903591
Tringa brevipes,US-AK,2158,0.902806
Florisuga mellivora,MX-CHP,369,0.900914
Acridotheres tristis,US-HI,89440,0.899333
Stilpnia larvata,MX-CHP,1532,0.898832
Lipaugus unirufus,MX-CHP,557,0.898552
Dryobates arizonae,US-AZ,47770,0.897304
Cairina moschata,US-FL,97493,0.895808
Nesophlox evelynae,US-FL,101,0.893337
Pterodroma sandwichensis,US-HI,1892,0.892534
Ramphocelus passerinii,MX-CHP,1385,0.891111
Melanerpes uropygialis,US-AZ,443649,0.890110
Melanitta stejnegeri,US-AK,156,0.889958
Taraba major,MX-CHP,664,0.887602
Somateria sp.,US-AK,808,0.885239
Melozone aberti,US-AZ,262829,0.883856
Coturnix japonica,US-HI,107,0.882266
Peucaea sumichrasti,MX-OAX,970,0.877426
Plectrophenax hyperboreus,US-AK,1022,0.875964
Melozone crissalis,US-CA,124793,0.875369
Melanerpes pucherani,MX-CHP,1497,0.873642
Phaethon sp.,US-HI,246,0.873414
Selasphorus sasin,US-CA,37169,0.872605
Aramus guarauna,US-FL,184399,0.871323
Crex crex,US-NY,178,0.870987
Terenotriccus erythrurus,MX-CHP,240,0.868278
Amphispizopsis quinquestriata,US-AZ,5685,0.866900
Crotophaga ani,US-FL,3353,0.866538
Tyrannus dominicensis,US-FL,41871,0.866142
Glaucidium sanchezi,MX-TAM,356,0.865937
Megascops trichopsis,US-AZ,10842,0.861873
Motacilla cinerea,US-AK,154,0.858575
Pycnonotus cafer,US-HI,24792,0.858030
Patagioenas leucocephala,US-FL,24127,0.857771
Gavia arctica,US-AK,1952,0.855219
Colinus nigrogularis,MX-YUC,4896,0.854955
Aphelocoma wollweberi,US-AZ,130540,0.854253
Psittacula krameri,US-HI,7725,0.853366
Pterodroma feae,US-NC,496,0.849315
Glyphorynchus spirurus,MX-CHP,920,0.848991
Vireo altiloquus,US-FL,9255,0.848316
Procellariidae sp.,US-HI,1521,0.845797
Colaptes chrysoides,US-AZ,47179,0.845238
Bolborhynchus lineola,MX-CHP,473,0.835881
Calidris tenuirostris,US-AK,144,0.835512
Cercomacroides tyrannina,MX-CHP,1275,0.835329
Grallaria guatimalensis,MX-CHP,215,0.835289
Geranoaetus albicaudatus,US-TX,54492,0.834808
Sclerurus guatemalensis,MX-CHP,96,0.833495
Eupherusa ridgwayi,MX-NAY,1153,0.827999
Pavo cristatus,US-FL,9473,0.827936
Doricha eliza,MX-YUC,3645,0.827496
Pterodroma arminjoniana,US-NC,682,0.827398
Lophornis helenae,MX-CHP,336,0.826299
Vireo brevipennis,MX-OAX,1210,0.824742
Chlidonias hybrida,US-NJ,544,0.822544
Psittacara mitratus,US-FL,5584,0.821782
Anser canagicus,US-AK,6377,0.819879
Alauda arvensis,US-HI,11496,0.819832
Galbula ruficauda,MX-CHP,1284,0.816028
Estrilda melpoda,US-HI,458,0.814368
Toxostoma cinereum,MX-BCS,4810,0.813222
Tinamus major,MX-CHP,1027,0.813147
Melanoptila glabrirostris,MX-ROO,7434,0.810431
Forpus cyanopygius,MX-NAY,325,0.808976
Pyrilia haematotis,MX-CHP,1135,0.808272
Calidris ptilocnemis,US-AK,18728,0.806562
Xenotriccus mexicanus,MX-OAX,1090,0.806211
Arremon aurantiirostris,MX-CHP,876,0.806087
Baeolophus inornatus,US-CA,64598,0.805829
Toxostoma ocellatum,MX-OAX,1061,0.805034
Crypturellus soui,MX-CHP,969,0.804200
Leiothlypis luciae,US-AZ,123067,0.799369
Cynanthus doubledayi,MX-OAX,2340,0.798805
Sclerurus mexicanus,MX-CHP,779,0.797688
Dendrocygna viduata,US-FL,173,0.797451
Lagopus sp.,US-AK,312,0.793407
Emberiza pusilla,US-AK,179,0.792513
Xiphorhynchus erythropygius,MX-CHP,992,0.791680
Trogon massena,MX-CHP,1364,0.787610
Icterus pectoralis,US-FL,9687,0.786097
Strix fulvescens,MX-CHP,654,0.785717
Larus michahellis,CA-NL,229,0.785287
Callonetta leucophrys,US-FL,293,0.784170
Cistothorus platensis,MX-DIF,1636,0.782302
Aphelocoma sp.,US-AZ,128,0.779199
Sporophila corvina,MX-CHP,1391,0.777986
Calidris temminckii,US-AK,209,0.776178
Cardellina rubrifrons,US-AZ,26069,0.771872
Psittaciformes sp. (parakeet sp.),US-FL,2392,0.771690
Scolopacidae sp.,CA-QC,1067,0.768348
Eugenes fulgens,US-AZ,59354,0.768027
Arremonops rufivirgatus,US-TX,82550,0.768003
Dendrocygna sp.,US-TX,345,0.767284
Geothlypis speciosa,MX-MEX,514,0.766836
Vireolanius pulchellus,MX-CHP,1507,0.766026
Hydrobates socorroensis,US-CA,92,0.764745
Myioborus pictus,US-AZ,72658,0.761359
Junco phaeonotus,US-AZ,70541,0.761042
Toxostoma bendirei,US-AZ,10324,0.759894
Heliothryx barroti,MX-CHP,280,0.759583
Chlorophonia occipitalis,MX-CHP,1887,0.759296
Cyrtonyx montezumae,US-AZ,13850,0.756470
Patagioenas nigrirostris,MX-CHP,1603,0.755918
Peucaea botterii,US-AZ,17398,0.754027
Pampa excellens,MX-VER,1342,0.751399
Fringilla coelebs,US-MA,116,0.751137
Motacilla alba,US-AK,4794,0.747898
Leiothlypis crissalis,US-TX,3032,0.747790
Eupherusa eximia,MX-CHP,410,0.746888
Geothlypis flavovelata,MX-TAM,239,0.746632
Botaurus pinnatus,MX-VER,1433,0.745412
Campylorhynchus jocosus,MX-OAX,2788,0.743265
Tyrannus couchii,US-TX,110055,0.743141
Hylorchilus navai,MX-CHP,531,0.738268
Polioptila melanura,US-AZ,119695,0.737917
Cyanocorax yncas,US-TX,150450,0.737328
Calidris ruficollis,US-AK,2690,0.735274
Ictinia plumbea,MX-CHP,410,0.730856
Rostrhamus sociabilis,US-FL,32354,0.730103
Corvus sinaloae,MX-NAY,10529,0.727823
