Bird,State,Count,Score
Perdix perdix,CA-AB,12219,0.223521
Leucophaeus pipixcan,CA-AB,66081,0.183341
Pica hudsonia,CA-AB,255731,0.154257
Spizella pallida,CA-AB,61460,0.153982
Bombycilla garrulus,CA-AB,25466,0.144374
Ammospiza leconteii,CA-AB,8236,0.132835
Poecile hudsonicus,CA-AB,26129,0.130228
Centronyx bairdii,CA-AB,1611,0.122173
Picoides dorsalis,CA-AB,5674,0.108845
Anthus spragueii,CA-AB,3079,0.104152
Lagopus leucura,CA-AB,772,0.091253
Buteo swainsoni,CA-AB,42894,0.086653
Loxia leucoptera,CA-AB,14861,0.079112
Calcarius ornatus,CA-AB,3113,0.075264
Perisoreus canadensis,CA-AB,21425,0.071520
Tetraoninae sp.,CA-AB,118,0.069424
Coturnicops noveboracensis,CA-AB,947,0.066988
Podiceps grisegena,CA-AB,30463,0.063270
Acanthis sp.,CA-AB,151,0.060407
Pinicola enucleator,CA-AB,16662,0.058401
Tympanuchus phasianellus,CA-AB,2703,0.055898
Xanthocephalus xanthocephalus,CA-AB,32356,0.054068
Phalaropus tricolor,CA-AB,17889,0.051524
Chlidonias niger,CA-AB,17438,0.051419
Accipiter gentilis,CA-AB,5513,0.051198
Podiceps nigricollis,CA-AB,23193,0.049894
Larus californicus,CA-AB,33337,0.047235
Rhynchophanes mccownii,CA-AB,997,0.044979
Canachites canadensis,CA-AB,1851,0.042648
Sialia currucoides,CA-AB,17212,0.042123
Limosa fedoa,CA-AB,13761,0.042025
Acanthis flammea,CA-AB,28864,0.037896
Recurvirostra americana,CA-AB,24602,0.037802
Oporornis agilis,CA-AB,1460,0.037116
Empidonax minimus,CA-AB,38485,0.036718
Bucephala clangula,CA-AB,82530,0.036370
Buteo regalis,CA-AB,4631,0.035773
Nucifraga columbiana,CA-AB,7775,0.035033
Porzana carolina,CA-AB,23901,0.034855
Acanthis hornemanni,CA-AB,2656,0.033951
Picoides arcticus,CA-AB,2187,0.033920
Cinclus mexicanus,CA-AB,5478,0.033295
Aythya valisineria,CA-AB,25495,0.033212
Ammospiza nelsoni,CA-AB,2858,0.033000
Aythya americana,CA-AB,39138,0.030374
Corvus corax,CA-AB,171568,0.029960
Aythya affinis,CA-AB,57293,0.029472
Leucosticte tephrocotis,CA-AB,1775,0.028529
Falco mexicanus,CA-AB,4683,0.027736
Loxia sp.,CA-AB,91,0.026855
Falco columbarius,CA-AB,31234,0.026762
Buteo lagopus,CA-AB,15229,0.026647
Gallinago delicata,CA-AB,32830,0.025683
Anatinae sp.,CA-AB,12113,0.025668
Mareca americana,CA-AB,67289,0.025590
Bucephala islandica,CA-AB,8894,0.025567
Bonasa umbellus,CA-AB,14628,0.024376
Lanius borealis,CA-AB,7872,0.024353
Leiothlypis peregrina,CA-AB,24637,0.023930
Pooecetes gramineus,CA-AB,19069,0.023534
Spatula cyanoptera,CA-AB,16280,0.022661
Dendragapus obscurus,CA-AB,715,0.022202
Melospiza lincolnii,CA-AB,32336,0.022015
Bubo scandiacus,CA-AB,6522,0.021747
Spatula discors,CA-AB,53614,0.021578
Glaucidium gnoma,CA-AB,1572,0.021154
Cygnus columbianus,CA-AB,12510,0.021017
Euphagus cyanocephalus,CA-AB,26473,0.020776
Sitta canadensis,CA-AB,100144,0.020316
Poecile gambeli,CA-AB,20640,0.020032
Spatula clypeata,CA-AB,63550,0.019881
Calidris bairdii,CA-AB,5994,0.019811
Empidonax alnorum,CA-AB,10551,0.019001
Spizella sp.,CA-AB,375,0.018850
Aechmophorus occidentalis,CA-AB,12746,0.018638
Contopus sordidulus,CA-AB,17955,0.018553
Anas acuta,CA-AB,35852,0.018252
Aegolius acadicus,CA-AB,2321,0.017935
Sphyrapicus nuchalis,CA-AB,4443,0.017679
Sturnella neglecta,CA-AB,31251,0.017339
Anser albifrons,CA-AB,8142,0.016788
Aquila chrysaetos,CA-AB,6175,0.015962
Spinus pinus,CA-AB,55649,0.015740
Plegadis chihi,CA-AB,9251,0.015696
Pelecanus erythrorhynchos,CA-AB,26764,0.015522
Himantopus mexicanus,CA-AB,16464,0.015448
Passerculus sandwichensis,CA-AB,56696,0.015420
Mergus merganser,CA-AB,50892,0.015264
Phasianus colchicus,CA-AB,15419,0.015221
Bubo virginianus,CA-AB,20655,0.015042
Oxyura jamaicensis,CA-AB,35155,0.014093
Asio otus,CA-AB,1070,0.013975
Fulica americana,CA-AB,70378,0.013830
Anatidae sp. (teal sp.),CA-AB,351,0.013496
Cygnus buccinator,CA-AB,12136,0.013474
Myadestes townsendi,CA-AB,6605,0.013099
Asio flammeus,CA-AB,2979,0.012894
Selasphorus calliope,CA-AB,2483,0.012503
Mareca strepera,CA-AB,46729,0.011668
Poecile sp.,CA-AB,596,0.011615
Podiceps auritus,CA-AB,17916,0.011443
Riparia riparia,CA-AB,13113,0.011274
Poecile atricapillus,CA-AB,226018,0.011187
Bucephala albeola,CA-AB,57432,0.010982
Limosa haemastica,CA-AB,1490,0.010901
Phalaropus lobatus,CA-AB,3537,0.010841
Coccothraustes vespertinus,CA-AB,10123,0.010443
Limnodromus scolopaceus,CA-AB,8077,0.010011
Catharus ustulatus,CA-AB,24852,0.009579
Aegolius funereus,CA-AB,199,0.009457
Histrionicus histrionicus,CA-AB,4392,0.009370
Tringa solitaria,CA-AB,11973,0.009138
Plectrophenax nivalis,CA-AB,6433,0.008768
Actitis macularius,CA-AB,34677,0.008738
Anas crecca,CA-AB,37805,0.008683
Calidris himantopus,CA-AB,3981,0.008604
Tringa flavipes,CA-AB,21965,0.008555
Anas platyrhynchos,CA-AB,191029,0.008277
Setophaga petechia,CA-AB,64362,0.008236
Cypseloides niger,CA-AB,414,0.008196
Contopus cooperi,CA-AB,4602,0.008008
Larus sp.,CA-AB,2748,0.007927
Geothlypis philadelphia,CA-AB,3337,0.007816
Numenius americanus,CA-AB,3320,0.007673
Tringa semipalmata,CA-AB,16034,0.007062
Calcarius lapponicus,CA-AB,3143,0.006982
Branta canadensis,CA-AB,186670,0.006956
Falco sp.,CA-AB,353,0.006931
Ixoreus naevius,CA-AB,6070,0.006925
Phalaropus sp.,CA-AB,118,0.006708
Passerellidae sp. (sparrow sp.),CA-AB,4202,0.006592
Bartramia longicauda,CA-AB,2032,0.006400
Empidonax oberholseri,CA-AB,2256,0.006184
Charadriiformes sp.,CA-AB,1241,0.005321
Circus hudsonius,CA-AB,32188,0.005297
Piranga ludoviciana,CA-AB,9575,0.005215
Tachycineta bicolor,CA-AB,72811,0.005182
Mareca penelope,CA-AB,1652,0.005146
Passer domesticus,CA-AB,122567,0.004922
Aythya collaris,CA-AB,27909,0.004862
Petrochelidon pyrrhonota,CA-AB,17231,0.004858
Loxia curvirostra,CA-AB,5168,0.004793
Columba livia,CA-AB,69786,0.004773
Parkesia noveboracensis,CA-AB,9923,0.004636
Troglodytes aedon,CA-AB,49752,0.004619
Colaptes auratus,CA-AB,114739,0.004593
Vireo philadelphicus,CA-AB,2719,0.004417
Cardellina pusilla,CA-AB,14058,0.004356
Bombycilla cedrorum,CA-AB,55970,0.004196
Anser caerulescens,CA-AB,9491,0.003943
Calidris melanotos,CA-AB,6823,0.003908
Accipitridae sp. (hawk sp.),CA-AB,1615,0.003905
Setophaga townsendi,CA-AB,3925,0.003720
Chroicocephalus philadelphia,CA-AB,10954,0.003603
Larus delawarensis,CA-AB,84626,0.003411
Xema sabini,CA-AB,527,0.003170
Leiothlypis celata,CA-AB,16557,0.002989
Eremophila alpestris,CA-AB,14141,0.002920
Vireo sp.,CA-AB,247,0.002865
Geothlypis tolmiei,CA-AB,3003,0.002749
Picidae sp.,CA-AB,1222,0.002696
Dryobates villosus,CA-AB,50501,0.002677
Vireo gilvus,CA-AB,23184,0.002588
Gavia immer,CA-AB,19860,0.002119
Tyrannus tyrannus,CA-AB,28653,0.002098
Tringa melanoleuca,CA-AB,19402,0.002019
Buteo sp.,CA-AB,1037,0.002003
Sitta sp.,CA-AB,72,0.001927
Zonotrichia leucophrys,CA-AB,31924,0.001757
Anthus rubescens,CA-AB,6757,0.001670
Turdus migratorius,CA-AB,181191,0.001633
Sterna forsteri,CA-AB,10252,0.001266
Haliaeetus leucocephalus,CA-AB,45552,0.001239
Setophaga coronata,CA-AB,65696,0.001171
Calamospiza melanocorys,CA-AB,1056,0.001114
Dryobates pubescens,CA-AB,112307,0.001006
Corvus brachyrhynchos,CA-AB,161503,0.000912
Accipiter striatus,CA-AB,11030,0.000900
Sterna hirundo,CA-AB,6226,0.000702
Charadrius vociferus,CA-AB,54331,0.000538
Calidris pusilla,CA-AB,7408,0.000536
Buteo jamaicensis,CA-AB,64973,0.000458
Zonotrichia albicollis,CA-AB,52361,0.000395
Molothrus ater,CA-AB,47505,0.000361
Spizella passerina,CA-AB,51926,0.000269
Tyrannus verticalis,CA-AB,7287,0.000120
Anser rossii,CA-AB,1061,0.000084
Botaurus lentiginosus,CA-AB,2763,0.000038
Selasphorus rufus,CA-AB,5314,-0.000041
Spizelloides arborea,CA-AB,12874,-0.000205
Agelaius phoeniceus,CA-AB,108519,-0.000278
Vireo cassinii,CA-AB,1244,-0.000413
Sphyrapicus varius,CA-AB,13826,-0.000623
Corthylio calendula,CA-AB,31692,-0.000844
Cardellina canadensis,CA-AB,2657,-0.000972
Falco sp. (large falcon sp.),CA-AB,28,-0.001108
Cistothorus palustris,CA-AB,8769,-0.001126
Salpinctes obsoletus,CA-AB,2037,-0.001131
Accipiter sp.,CA-AB,716,-0.001172
Sitta carolinensis,CA-AB,63773,-0.001331
Junco hyemalis,CA-AB,63920,-0.001360
Grus americana,CA-AB,176,-0.001448
Passeriformes sp.,CA-AB,1772,-0.001456
Setophaga striata,CA-AB,5066,-0.001578
Aythya marila,CA-AB,5110,-0.001670
Seiurus aurocapilla,CA-AB,12805,-0.001672
Tachycineta thalassina,CA-AB,7096,-0.001708
Haemorhous mexicanus,CA-AB,69315,-0.001736
Dryocopus pileatus,CA-AB,23426,-0.001802
Sturnus vulgaris,CA-AB,86227,-0.001816
Regulus satrapa,CA-AB,14407,-0.001867
Accipitridae sp. (eagle sp.),CA-AB,28,-0.001884
Chordeiles minor,CA-AB,4450,-0.001893
Setophaga tigrina,CA-AB,2828,-0.001984
Zonotrichia querula,CA-AB,1422,-0.002000
Pheucticus ludovicianus,CA-AB,12138,-0.002023
Haemorhous purpureus,CA-AB,11357,-0.002210
Lophodytes cucullatus,CA-AB,13537,-0.002307
Nycticorax nycticorax,CA-AB,6469,-0.002462
Pluvialis dominica,CA-AB,1057,-0.002480
Calidris pugnax,CA-AB,103,-0.002580
Pandion haliaetus,CA-AB,23023,-0.002596
Empidonax flaviventris,CA-AB,964,-0.002612
Vireo olivaceus,CA-AB,22045,-0.002680
Cyanocitta cristata,CA-AB,91499,-0.002759
Euphagus carolinus,CA-AB,2556,-0.002892
Branta hutchinsii,CA-AB,2707,-0.002914
Icterus galbula,CA-AB,15514,-0.002935
Pluvialis sp.,CA-AB,18,-0.002940
Hirundo rustica,CA-AB,33950,-0.002953
Cistothorus stellaris,CA-AB,1335,-0.002999
Empidonax sp.,CA-AB,1564,-0.003030
Melanitta deglandi,CA-AB,2939,-0.003051
Larus schistisagus,CA-AB,61,-0.003133
Gavia adamsii,CA-AB,95,-0.003144
Spizella breweri,CA-AB,1229,-0.003161
Haemorhous cassinii,CA-AB,1462,-0.003163
Catharus guttatus,CA-AB,10667,-0.003169
Certhia americana,CA-AB,9542,-0.003217
Nannopterum auritum,CA-AB,33988,-0.003261
Calidris acuminata,CA-AB,49,-0.003262
Hirundinidae sp.,CA-AB,2415,-0.003294
Antigone canadensis,CA-AB,8071,-0.003342
Fringilla montifringilla,CA-AB,27,-0.003343
Stelgidopteryx serripennis,CA-AB,10522,-0.003517
Calidris sp. (peep sp.),CA-AB,1095,-0.003712
Streptopelia decaocto,CA-AB,12724,-0.003805
Setophaga castanea,CA-AB,1941,-0.003819
Zonotrichia sp.,CA-AB,8,-0.003830
Falco sparverius,CA-AB,16117,-0.003831
Setophaga ruticilla,CA-AB,12326,-0.003904
Podilymbus podiceps,CA-AB,14526,-0.003982
Buteo platypterus,CA-AB,3167,-0.004047
Pluvialis squatarola,CA-AB,4412,-0.004103
Setophaga magnolia,CA-AB,5861,-0.004128
Cygnus sp.,CA-AB,100,-0.004359
Accipiter cooperii,CA-AB,10592,-0.004580
Falco peregrinus,CA-AB,3429,-0.004672
Troglodytes pacificus,CA-AB,2104,-0.004674
Vireo solitarius,CA-AB,4624,-0.004707
Troglodytes hiemalis,CA-AB,3230,-0.004712
Lagopus lagopus,CA-AB,104,-0.004714
Sayornis saya,CA-AB,3224,-0.004732
Melospiza melodia,CA-AB,56202,-0.004758
Aythya fuligula,CA-AB,87,-0.004850
Passerina amoena,CA-AB,1394,-0.004852
Parulidae sp.,CA-AB,1043,-0.004880
Geothlypis trichas,CA-AB,20843,-0.004916
Empidonax difficilis,CA-AB,1123,-0.005007
Megaceryle alcyon,CA-AB,16885,-0.005008
Chondestes grammacus,CA-AB,2313,-0.005117
Anatidae sp.,CA-AB,31,-0.005153
Calidris minutilla,CA-AB,6008,-0.005165
Ardea herodias,CA-AB,32551,-0.005193
Progne subis,CA-AB,5354,-0.005196
Catharus fuscescens,CA-AB,3648,-0.005247
Calidris subruficollis,CA-AB,203,-0.005307
Aechmophorus clarkii,CA-AB,402,-0.005316
Dumetella carolinensis,CA-AB,21787,-0.005393
Quiscalus quiscula,CA-AB,29719,-0.005417
Charadrius semipalmatus,CA-AB,3620,-0.005418
Spinus tristis,CA-AB,45539,-0.005539
Empidonax hammondii,CA-AB,580,-0.005541
Phalaenoptilus nuttallii,CA-AB,189,-0.005647
Aix sponsa,CA-AB,10869,-0.005701
Anatidae sp. (dabbling duck sp.),CA-AB,150,-0.005725
Gavia pacifica,CA-AB,536,-0.005752
Larus hyperboreus,CA-AB,622,-0.005826
Lanius ludovicianus,CA-AB,3099,-0.005871
Calidris canutus,CA-AB,493,-0.005902
