Bird,State,Count,Score
Zosterops,US-HI,82840,0.238291
Acridotheres,US-HI,89440,0.232353
Geopelia,US-HI,78346,0.231737
Paroaria,US-HI,56710,0.197152
Himatione,US-HI,35689,0.156402
Chlorodrepanis,US-HI,34136,0.152961
Pycnonotus,US-HI,33210,0.134008
Estrilda,US-HI,25798,0.132702
Sicalis,US-HI,23701,0.123993
Padda,US-HI,20197,0.117647
Crithagra,US-HI,19880,0.116664
Egretta,US-FL,1584817,0.115819
Copsychus,US-HI,18329,0.112083
Leiothrix,US-HI,17965,0.110964
Chasiempis,US-HI,17400,0.109205
Drepanis,US-HI,17194,0.108557
Auriparus,US-AZ,386191,0.107687
Gallus,US-HI,23926,0.106961
Lonchura,US-HI,27459,0.106031
Ortygornis,US-HI,16235,0.105486
Eudocimus,US-FL,748541,0.105254
Phaethon,US-HI,18688,0.101215
Anhinga,US-FL,553383,0.098456
Pternistis,US-HI,12575,0.092837
Melozone,US-AZ,388898,0.091775
Thraupis,MX-VER,23419,0.087000
Eumomota,MX-YUC,10474,0.085344
Melanoptila,MX-ROO,7434,0.082308
Euodice,US-HI,9657,0.081356
Aethia,US-AK,31286,0.080579
Alauda,US-HI,11496,0.080435
Phainopepla,US-AZ,200508,0.080353
Cassiculus,MX-NAY,14557,0.077351
Lophura,US-HI,8704,0.077237
Saucerottia,MX-DIF,13512,0.076851
Psilorhinus,MX-VER,20858,0.076234
Pica,CA-AB,255731,0.074881
Gygis,US-HI,8096,0.074486
Garrulax,US-HI,7663,0.072471
Sula,US-HI,22649,0.072022
Aphelocoma,US-OR,374161,0.071860
Fratercula,US-AK,48084,0.071670
Horornis,US-HI,7438,0.071399
Rissa,US-AK,60795,0.070990
Cynanthus,US-AZ,169527,0.070671
Mycteria,US-FL,284639,0.070560
Phaeoptila,MX-OAX,5903,0.070485
Diglossa,MX-DIF,5831,0.069563
Campylorhynchus,US-AZ,200611,0.069133
Loxops,US-HI,6901,0.068773
Cyclarhis,MX-YUC,9274,0.067762
Psarocolius,MX-VER,11295,0.067556
Rupornis,MX-VER,16733,0.067344
Psittacula,US-HI,7725,0.067274
Pica,US-CO,387306,0.066543
Aramus,US-FL,184399,0.066418
Gallinula,US-FL,389658,0.063366
Ptiliogonys,MX-DIF,8935,0.063294
Phoenicopterus,MX-YUC,6151,0.061508
Calypte,US-AZ,393373,0.061334
Myiozetetes,MX-VER,26189,0.061167
Caracara,US-TX,249608,0.060735
Callipepla,US-AZ,296630,0.060262
Francolinus,US-HI,5267,0.060082
Pyrocephalus,US-AZ,194003,0.060011
Dives,MX-VER,18820,0.059758
Coereba,MX-ROO,5172,0.057020
Anous,US-HI,7888,0.055729
Penelopina,MX-CHP,2859,0.055620
Saltator,MX-YUC,15235,0.055551
Amphispiza,US-AZ,137441,0.055184
Doricha,MX-YUC,3645,0.054861
Dives,MX-ROO,13206,0.054762
Chamaea,US-CA,57649,0.054629
Dives,MX-YUC,13310,0.054012
Dendrocygna,US-TX,286302,0.053426
Myiozetetes,MX-YUC,17857,0.053302
Stercorarius,US-AK,52502,0.052898
Euphonia,MX-VER,14613,0.052582
Cantorchilus,MX-CHP,2490,0.051179
Somateria,US-ME,127240,0.050740
Bubulcus,US-FL,314435,0.050141
Trogon,MX-CHP,15105,0.050009
Thalasseus,US-FL,312301,0.049659
Ramphocelus,MX-CHP,3192,0.049580
Pica,US-MT,151463,0.049015
Calypte,US-WA,331274,0.048410
Thryophilus,MX-NAY,8364,0.048372
Laterallus,MX-VER,5532,0.047721
Megarynchus,MX-VER,10933,0.047695
Saltator,MX-VER,16748,0.047671
Brachyramphus,US-AK,32064,0.047621
Mimus,US-TX,1153435,0.047546
Calocitta,MX-NAY,8276,0.047502
Stercorarius,CA-NU,8505,0.047426
Phaethornis,MX-CHP,4249,0.047257
Amandava,US-HI,3185,0.046722
Henicorhina,MX-CHP,5522,0.046275
Pandion,US-FL,678520,0.046272
Elanoides,US-FL,111055,0.045940
Motacilla,US-AK,11750,0.045911
Uria,US-AK,45365,0.045828
Cassiculus,MX-JAL,7581,0.045616
Lagopus,US-AK,20473,0.045499
Myiozetetes,MX-ROO,14919,0.045438
Pitangus,US-TX,187667,0.045386
Thraupis,MX-CHP,9549,0.045326
Eugenes,US-AZ,59354,0.045167
Cyanocorax,US-TX,150450,0.045092
Peucaea,US-AZ,103715,0.044961
Pampa,MX-VER,6699,0.044911
Pelecanus,US-FL,493180,0.044786
Coragyps,US-FL,538801,0.044369
Tiaris,MX-ROO,4980,0.044330
Myioborus,US-AZ,73445,0.043990
Xenospiza,MX-DIF,1255,0.043962
Porphyrio,US-FL,107853,0.043825
Chlorospingus,MX-VER,5774,0.043812
Aspatha,MX-CHP,1767,0.043734
Calcarius,US-AK,48011,0.043568
Cyclarhis,MX-ROO,5796,0.043201
Saucerottia,MX-OAX,8936,0.042670
Bubulcus,US-HI,48950,0.042468
Egretta,US-TX,810944,0.042436
Melozone,US-CA,129054,0.042261
Melanotis,MX-JAL,6917,0.042081
Euphonia,MX-CHP,9124,0.042046
Pluvialis,US-HI,55064,0.041972
Eupsittula,MX-ROO,8897,0.041739
Selasphorus,US-CO,210475,0.041476
Hemignathus,US-HI,2508,0.041460
Calypte,US-OR,261771,0.041448
Ptiliogonys,MX-OAX,6948,0.041367
Amazilia,MX-YUC,15566,0.041247
Crotophaga,MX-YUC,12721,0.041244
Atticora,MX-CHP,1549,0.040934
Pica,US-ID,118106,0.040764
Cyanerpes,MX-CHP,3862,0.040722
Volatinia,MX-VER,8519,0.040692
Basileuterus,MX-OAX,9485,0.040588
Ardea,US-FL,1419010,0.040556
Calypte,CA-BC,254360,0.040548
Piaya,MX-VER,10382,0.040523
Zimmerius,MX-CHP,1516,0.040509
Aramides,MX-VER,4825,0.040444
Geococcyx,US-AZ,113984,0.040380
Streptoprocne,MX-CHP,4433,0.040176
Histrionicus,US-AK,43598,0.039947
Aulacorhynchus,MX-CHP,2863,0.039866
Calcarius,CA-NU,7884,0.039866
Cyanocorax,MX-YUC,18304,0.039853
Sporophila,MX-VER,13344,0.039772
Habia,MX-CHP,5589,0.039770
Basileuterus,MX-CHP,9628,0.039729
Bulweria,US-HI,2282,0.039478
Thryomanes,US-WA,258496,0.039404
Pharomachrus,MX-CHP,1420,0.039192
Calypte,US-CA,176961,0.039028
Basileuterus,MX-VER,12078,0.038821
Leucophaeus,US-FL,438642,0.038743
Pheugopedius,MX-NAY,9182,0.038706
Stilpnia,MX-CHP,1532,0.038629
Coragyps,US-TX,548178,0.038410
Aphelocoma,US-CA,153459,0.038395
Tityra,MX-NAY,7929,0.038241
Pica,US-UT,129642,0.038070
Momotus,MX-CHP,6924,0.038067
Ramphastos,MX-CHP,4449,0.038059
Paroreomyza,US-HI,2097,0.037911
Polysticta,US-AK,7277,0.037798
Oriturus,MX-DIF,2236,0.037796
Urile,US-WA,128798,0.037537
Habia,MX-ROO,5178,0.037527
Antigone,US-WI,231517,0.037425
Psilorhinus,MX-ROO,7859,0.037363
Saltator,MX-ROO,10019,0.037206
Tolmomyias,MX-CHP,3959,0.037167
Pachysylvia,MX-CHP,3145,0.037021
Platalea,US-FL,151970,0.036935
