Bird,State,Count,Score
Pica,CA-AB,255731,0.074881
Perdix,CA-AB,12219,0.020005
Bucephala,CA-AB,148856,0.018298
Spatula,CA-AB,133449,0.017189
Podiceps,CA-AB,71572,0.016921
Aythya,CA-AB,155041,0.016629
Xanthocephalus,CA-AB,32356,0.015101
Perisoreus,CA-AB,21425,0.014391
Mareca,CA-AB,115670,0.014389
Leucophaeus,CA-AB,66081,0.012458
Acanthis,CA-AB,31671,0.012082
Pinicola,CA-AB,16662,0.011324
Chlidonias,CA-AB,17438,0.010726
Recurvirostra,CA-AB,24602,0.010681
Anas,CA-AB,264745,0.010384
Corvus,CA-AB,333093,0.010164
Poecile,CA-AB,273431,0.010160
Porzana,CA-AB,23901,0.010026
Gallinago,CA-AB,32830,0.009715
Fulica,CA-AB,70378,0.009355
Passerculus,CA-AB,56696,0.009134
Phalaropus,CA-AB,21649,0.009049
Picoides,CA-AB,7861,0.008640
Branta,CA-AB,189411,0.008297
Loxia,CA-AB,20120,0.008035
Limosa,CA-AB,15251,0.007839
Bombycilla,CA-AB,81436,0.007786
Pooecetes,CA-AB,19069,0.007014
Oxyura,CA-AB,35155,0.006760
Bubo,CA-AB,27177,0.006593
Ammospiza,CA-AB,11094,0.006529
Bonasa,CA-AB,14628,0.006283
Euphagus,CA-AB,29029,0.005921
Anatinae,CA-AB,12113,0.005908
Spizella,CA-AB,115002,0.005757
Nucifraga,CA-AB,7775,0.005736
Sitta,CA-AB,163991,0.005606
Passer,CA-AB,122567,0.005569
Empidonax,CA-AB,57535,0.005310
Colaptes,CA-AB,114739,0.005053
Himantopus,CA-AB,16464,0.004930
Tringa,CA-AB,69406,0.004807
Actitis,CA-AB,34677,0.004740
Phasianus,CA-AB,15419,0.004723
Cinclus,CA-AB,5478,0.004669
Mergus,CA-AB,54097,0.004443
Aechmophorus,CA-AB,13148,0.004169
Columba,CA-AB,69786,0.004162
Tachycineta,CA-AB,79907,0.003888
Buteo,CA-AB,131931,0.003698
Tympanuchus,CA-AB,2703,0.003535
Riparia,CA-AB,13113,0.003524
Calcarius,CA-AB,6286,0.003220
Canachites,CA-AB,1851,0.003147
Aquila,CA-AB,6175,0.003088
Circus,CA-AB,32188,0.003083
Coturnicops,CA-AB,947,0.002917
Coccothraustes,CA-AB,10123,0.002898
Oporornis,CA-AB,1460,0.002574
Anser,CA-AB,18746,0.002501
Turdus,CA-AB,181191,0.002407
Rhynchophanes,CA-AB,997,0.002383
Leiothlypis,CA-AB,42069,0.002285
Myadestes,CA-AB,6605,0.002279
Asio,CA-AB,4049,0.002169
Falco,CA-AB,55854,0.002118
Aegolius,CA-AB,2520,0.002056
Plectrophenax,CA-AB,6433,0.002039
Troglodytes,CA-AB,55086,0.001984
Anthus,CA-AB,9836,0.001858
Pelecanus,CA-AB,26764,0.001852
Histrionicus,CA-AB,4392,0.001780
Petrochelidon,CA-AB,17231,0.001721
Ixoreus,CA-AB,6070,0.001660
Cygnus,CA-AB,24759,0.001561
Leucosticte,CA-AB,1775,0.001544
Sturnella,CA-AB,31252,0.001512
Dryobates,CA-AB,162808,0.001429
Passerellidae,CA-AB,4202,0.001329
Cardellina,CA-AB,16715,0.001257
Eremophila,CA-AB,14141,0.001234
Chroicocephalus,CA-AB,10957,0.001176
Centronyx,CA-AB,1611,0.001092
Tetraoninae,CA-AB,118,0.001050
Haliaeetus,CA-AB,45552,0.001015
Lagopus,CA-AB,878,0.000935
Bartramia,CA-AB,2032,0.000903
Glaucidium,CA-AB,1572,0.000803
Plegadis,CA-AB,9252,0.000795
Charadriiformes,CA-AB,1241,0.000608
Limnodromus,CA-AB,9571,0.000540
Accipitridae,CA-AB,1643,0.000520
Cypseloides,CA-AB,414,0.000494
Dendragapus,CA-AB,715,0.000361
Picidae,CA-AB,1222,0.000338
Xema,CA-AB,527,0.000256
Strigiformes,CA-AB,169,0.000250
Zonotrichia,CA-AB,86111,0.000249
Calamospiza,CA-AB,1056,0.000141
Sterna,CA-AB,16701,0.000124
Lanius,CA-AB,10975,0.000124
Catharus,CA-AB,39604,0.000086
Molothrus,CA-AB,47505,0.000057
Parkesia,CA-AB,9923,0.000009
Botaurus,CA-AB,2763,-0.000002
Sibirionetta,CA-AB,1,-0.000041
Charadriidae,CA-AB,8,-0.000052
Spizelloides,CA-AB,12874,-0.000090
Corvidae,CA-AB,2,-0.000092
Fringilla,CA-AB,27,-0.000094
Sphyrapicus,CA-AB,18282,-0.000112
Anatidae,CA-AB,532,-0.000113
Grus,CA-AB,177,-0.000123
Numenius,CA-AB,3775,-0.000125
Podicipedidae,CA-AB,34,-0.000129
Melopsittacus,CA-AB,1,-0.000134
Numida,CA-AB,3,-0.000157
Gavia,CA-AB,20677,-0.000192
Scolopacidae,CA-AB,5,-0.000193
Apodidae,CA-AB,3,-0.000209
Salpinctes,CA-AB,2037,-0.000219
Carduelis,CA-AB,6,-0.000238
Psittaciformes,CA-AB,2,-0.000243
Ardeidae,CA-AB,3,-0.000255
Passeriformes,CA-AB,1772,-0.000269
Agelaius,CA-AB,108519,-0.000374
Icteridae,CA-AB,1347,-0.000393
Fringillidae,CA-AB,60,-0.000393
Columbidae,CA-AB,2,-0.000450
Troglodytidae,CA-AB,17,-0.000455
Aves,CA-AB,6,-0.000471
Phalaenoptilus,CA-AB,189,-0.000505
Hydrocoloeus,CA-AB,54,-0.000523
Synthliboramphus,CA-AB,5,-0.000523
Alectoris,CA-AB,40,-0.000592
Corthylio,CA-AB,31692,-0.000629
Cistothorus,CA-AB,10104,-0.000638
Psittacara,CA-AB,1,-0.000671
Tyrannidae,CA-AB,36,-0.000704
Artemisiospiza,CA-AB,11,-0.000712
Charadrius,CA-AB,58245,-0.000809
Hirundinidae,CA-AB,2415,-0.000816
Seiurus,CA-AB,12805,-0.000842
Tyrannus,CA-AB,35950,-0.000843
Chordeiles,CA-AB,4450,-0.000855
Parulidae,CA-AB,1043,-0.000930
Nycticorax,CA-AB,6469,-0.000934
Selasphorus,CA-AB,7797,-0.000948
Larus,CA-AB,136857,-0.000976
Accipiter,CA-AB,27851,-0.000990
Regulus,CA-AB,14407,-0.001011
Oreoscoptes,CA-AB,53,-0.001018
Phalacrocoracidae,CA-AB,2,-0.001040
Lophodytes,CA-AB,13537,-0.001250
Dryocopus,CA-AB,23426,-0.001280
Rissa,CA-AB,121,-0.001280
Contopus,CA-AB,22573,-0.001434
Aeronautes,CA-AB,1,-0.001454
Ammodramus,CA-AB,768,-0.001472
Stercorarius,CA-AB,151,-0.001478
Chondestes,CA-AB,2313,-0.001492
Antigone,CA-AB,8071,-0.001519
Certhia,CA-AB,9542,-0.001573
Junco,CA-AB,63920,-0.001594
Helmitheros,CA-AB,1,-0.001661
Peucaea,CA-AB,1,-0.001678
Pluvialis,CA-AB,5505,-0.001712
Catherpes,CA-AB,1,-0.001812
Amphispiza,CA-AB,2,-0.001825
Dolichonyx,CA-AB,1825,-0.001848
Stelgidopteryx,CA-AB,10522,-0.001852
Pandion,CA-AB,23023,-0.001872
Patagioenas,CA-AB,19,-0.002034
Caracara,CA-AB,17,-0.002090
Colinus,CA-AB,2,-0.002098
Protonotaria,CA-AB,25,-0.002138
Megascops,CA-AB,27,-0.002141
Pheucticus,CA-AB,13588,-0.002152
Clangula,CA-AB,1065,-0.002194
Sternula,CA-AB,36,-0.002215
Spiza,CA-AB,16,-0.002343
Progne,CA-AB,5354,-0.002354
Icteria,CA-AB,550,-0.002363
Haemorhous,CA-AB,82136,-0.002364
Sturnus,CA-AB,86227,-0.002377
Streptopelia,CA-AB,12724,-0.002387
Vermivora,CA-AB,5,-0.002535
Passerella,CA-AB,2698,-0.002546
Podilymbus,CA-AB,14526,-0.002568
Strix,CA-AB,1275,-0.002580
Hirundo,CA-AB,33950,-0.002654
Rallus,CA-AB,606,-0.002702
Melanitta,CA-AB,5323,-0.002761
Somateria,CA-AB,31,-0.002807
Hydroprogne,CA-AB,1702,-0.002831
Arenaria,CA-AB,414,-0.002873
Calidris,CA-AB,35541,-0.003046
Bubulcus,CA-AB,41,-0.003312
Mniotilta,CA-AB,5845,-0.003364
Callipepla,CA-AB,1,-0.003465
Nannopterum,CA-AB,33988,-0.003523
Coccyzus,CA-AB,232,-0.003627
Piranga,CA-AB,9594,-0.003743
Geothlypis,CA-AB,27195,-0.003849
Aix,CA-AB,10869,-0.003875
Megaceryle,CA-AB,16885,-0.003939
Hylocichla,CA-AB,7,-0.004198
Meleagris,CA-AB,724,-0.004218
Spinus,CA-AB,101194,-0.004301
Calypte,CA-AB,289,-0.004320
Vireo,CA-AB,54066,-0.004334
Icterus,CA-AB,15676,-0.004480
Melospiza,CA-AB,94545,-0.004679
Cyanocitta,CA-AB,94079,-0.004708
Butorides,CA-AB,30,-0.004721
Dumetella,CA-AB,21787,-0.004953
Archilochus,CA-AB,6400,-0.005295
Toxostoma,CA-AB,4248,-0.005298
Sialia,CA-AB,17481,-0.005371
Setophaga,CA-AB,169219,-0.005613
Coragyps,CA-AB,1,-0.005723
Myiarchus,CA-AB,650,-0.005857
Chaetura,CA-AB,61,-0.005866
Polioptila,CA-AB,24,-0.006610
Sayornis,CA-AB,11960,-0.006730
Passerina,CA-AB,1431,-0.006807
Egretta,CA-AB,127,-0.007319
Quiscalus,CA-AB,29818,-0.007850
Pipilo,CA-AB,4226,-0.007866
Ardea,CA-AB,33193,-0.008776
Mimus,CA-AB,260,-0.009020
Cathartes,CA-AB,5474,-0.009960
Melanerpes,CA-AB,398,-0.012139
Zenaida,CA-AB,23520,-0.012654
Cardinalis,CA-AB,123,-0.014507
Calypte,CA-BC,254360,0.040548
Ixoreus,CA-BC,106635,0.036425
Urile,CA-BC,103788,0.033313
Selasphorus,CA-BC,156703,0.027621
Haliaeetus,CA-BC,352974,0.026258
Pipilo,CA-BC,402839,0.024754
Psaltriparus,CA-BC,105050,0.023006
Bucephala,CA-BC,351687,0.022992
Histrionicus,CA-BC,50414,0.020974
Passerella,CA-BC,114542,0.020338
Colaptes,CA-BC,476541,0.020161
Mareca,CA-BC,291618,0.019750
Loxia,CA-BC,77065,0.019658
Thryomanes,CA-BC,131604,0.019449
Podiceps,CA-BC,146590,0.018126
Brachyramphus,CA-BC,25604,0.017523
Corvus,CA-BC,954472,0.016793
Larus,CA-BC,710123,0.016620
Cerorhinca,CA-BC,25802,0.016309
Junco,CA-BC,418987,0.016201
Regulus,CA-BC,148062,0.015847
Haematopus,CA-BC,56989,0.014863
Cypseloides,CA-BC,10387,0.014625
Melanitta,CA-BC,118344,0.014552
Gavia,CA-BC,156607,0.014328
Callipepla,CA-BC,83533,0.014151
Empidonax,CA-BC,199678,0.013152
Anas,CA-BC,668076,0.012085
Mergus,CA-BC,190032,0.011670
Poecile,CA-BC,688984,0.011604
Uria,CA-BC,27197,0.011411
Dendragapus,CA-BC,12759,0.011228
Patagioenas,CA-BC,36164,0.011209
Cepphus,CA-BC,38429,0.011058
Certhia,CA-BC,102429,0.011033
Tachycineta,CA-BC,274638,0.010688
Melospiza,CA-BC,587494,0.010644
Zonotrichia,CA-BC,378129,0.010265
Euphagus,CA-BC,83953,0.010094
Cistothorus,CA-BC,84167,0.010034
Nucifraga,CA-BC,22579,0.009853
Cinclus,CA-BC,17991,0.009361
Lophodytes,CA-BC,103242,0.008435
Haemorhous,CA-BC,414614,0.008243
Pica,CA-BC,86246,0.008030
Phalacrocoracidae,CA-BC,12257,0.008003
Coccothraustes,CA-BC,37162,0.007468
Streptopelia,CA-BC,113504,0.007318
Synthliboramphus,CA-BC,5042,0.006909
Leiothlypis,CA-BC,145990,0.006906
Turdus,CA-BC,574708,0.006860
Aechmophorus,CA-BC,36634,0.006679
Perisoreus,CA-BC,21808,0.006590
Passerculus,CA-BC,104700,0.006539
