Bird,State,Count,Score
Zosterops japonicus,US-HI,82840,0.238291
Acridotheres tristis,US-HI,89440,0.235008
Geopelia striata,US-HI,78346,0.231737
Streptopelia chinensis,US-HI,63162,0.202252
Pluvialis fulva,US-HI,54637,0.165086
Paroaria coronata,US-HI,39698,0.164948
Himatione sanguinea,US-HI,35689,0.156402
Chlorodrepanis virens,US-HI,29234,0.141552
Melanerpes uropygialis,US-AZ,443649,0.133290
Estrilda astrild,US-HI,25340,0.131782
Sicalis flaveola,US-HI,23701,0.127249
Fulica alai,US-HI,22293,0.123610
Pycnonotus cafer,US-HI,24792,0.120848
Padda oryzivora,US-HI,20197,0.117647
Melozone albicollis,MX-OAX,11837,0.117198
Crithagra mozambica,US-HI,19880,0.116664
Branta sandvicensis,US-HI,18412,0.112336
Copsychus malabaricus,US-HI,18329,0.112083
Mimus gilvus,MX-ROO,24326,0.111266
Leiothrix lutea,US-HI,17965,0.110964
Drepanis coccinea,US-HI,17194,0.108557
Paroaria capitata,US-HI,17012,0.107981
Auriparus flaviceps,US-AZ,386191,0.107687
Ortygornis pondicerianus,US-HI,16235,0.105486
Eudocimus albus,US-FL,748541,0.105254
Myadestes obscurus,US-HI,16063,0.104926
Aphelocoma californica,US-OR,374161,0.102824
Melozone aberti,US-AZ,262829,0.102220
Melozone crissalis,US-CA,124793,0.100992
Anhinga anhinga,US-FL,553383,0.098456
Chasiempis sandwichensis,US-HI,13102,0.094762
Callipepla gambelii,US-AZ,281419,0.094656
Mimus gilvus,MX-YUC,20945,0.093718
Pternistis erckelii,US-HI,12575,0.092837
Fregata minor,US-HI,12160,0.091056
Phaethon lepturus,US-HI,12724,0.090338
Ardenna pacifica,US-HI,11949,0.088220
Quiscalus mexicanus,US-TX,794651,0.088111
Quiscalus major,US-FL,540152,0.087877
Baeolophus atricristatus,US-TX,365712,0.086877
Campylorhynchus zonatus,MX-VER,15778,0.086784
Larus glaucescens,CA-BC,358285,0.085427
Eumomota superciliosa,MX-YUC,10474,0.085344
Corvus sinaloae,MX-NAY,10529,0.084442
Saucerottia beryllina,MX-DIF,13512,0.084345
Basilinna xantusii,MX-BCS,4183,0.084286
Toxostoma curvirostre,US-AZ,293199,0.084029
Sula sula,US-HI,11029,0.083445
Lonchura atricapilla,US-HI,10156,0.083427
Toxostoma cinereum,MX-BCS,4810,0.082751
Melanoptila glabrirostris,MX-ROO,7434,0.082308
Zonotrichia capensis,MX-CHP,6213,0.082008
Gallus gallus,US-HI,9785,0.081872
Dryobates nuttallii,US-CA,74045,0.081635
Zenaida asiatica,US-TX,742445,0.081497
Euodice cantans,US-HI,9657,0.081356
Egretta caerulea,US-FL,558321,0.080710
Alauda arvensis,US-HI,11496,0.080435
Phainopepla nitens,US-AZ,200508,0.080353
Ortalis wagleri,MX-NAY,9364,0.079620
Tringa incana,US-HI,21285,0.078968
Melanerpes chrysogenys,MX-NAY,15411,0.077847
Baeolophus wollweberi,US-AZ,147289,0.077840
Vireo magister,MX-ROO,5376,0.077361
Cassiculus melanicterus,MX-NAY,14557,0.077351
Lophura leucomelanos,US-HI,8704,0.077237
