Bird,State,Count,Score
Pica hudsonia,CA-AB,255731,0.075358
Leucophaeus pipixcan,CA-AB,66081,0.041952
Spizella pallida,CA-AB,61460,0.036910
Corvus corax,CA-AB,171568,0.024474
Bombycilla garrulus,CA-AB,25466,0.022963
Buteo swainsoni,CA-AB,42894,0.022640
Poecile hudsonicus,CA-AB,26129,0.022019
Perdix perdix,CA-AB,12219,0.020005
Bucephala clangula,CA-AB,82530,0.019111
Podiceps grisegena,CA-AB,30463,0.016021
Xanthocephalus xanthocephalus,CA-AB,32356,0.015101
Sitta canadensis,CA-AB,100144,0.014604
Poecile atricapillus,CA-AB,226018,0.014499
Perisoreus canadensis,CA-AB,21425,0.014391
Larus californicus,CA-AB,33337,0.014178
Aythya affinis,CA-AB,57293,0.014007
Mareca americana,CA-AB,67289,0.013895
Empidonax minimus,CA-AB,38485,0.013127
Loxia leucoptera,CA-AB,14861,0.012675
Ammospiza leconteii,CA-AB,8236,0.012494
Podiceps nigricollis,CA-AB,23193,0.012208
Aythya americana,CA-AB,39138,0.011795
Acanthis flammea,CA-AB,28864,0.011586
Spatula clypeata,CA-AB,63550,0.011473
Pinicola enucleator,CA-AB,16662,0.011324
Spatula discors,CA-AB,53614,0.011119
Phalaropus tricolor,CA-AB,17889,0.010922
Chlidonias niger,CA-AB,17438,0.010771
Recurvirostra americana,CA-AB,24602,0.010681
Anas platyrhynchos,CA-AB,191029,0.010649
Aythya valisineria,CA-AB,25495,0.010056
Porzana carolina,CA-AB,23901,0.010026
Falco columbarius,CA-AB,31234,0.009739
Gallinago delicata,CA-AB,32830,0.009729
Sialia currucoides,CA-AB,17212,0.009527
Fulica americana,CA-AB,70378,0.009435
Picoides dorsalis,CA-AB,5674,0.009321
Branta canadensis,CA-AB,186670,0.009197
Spinus pinus,CA-AB,55649,0.009178
Passerculus sandwichensis,CA-AB,56696,0.009134
Melospiza lincolnii,CA-AB,32336,0.008749
Mergus merganser,CA-AB,50892,0.008594
Limosa fedoa,CA-AB,13761,0.008507
Anas acuta,CA-AB,35852,0.008144
Leiothlypis peregrina,CA-AB,24637,0.008058
Euphagus cyanocephalus,CA-AB,26473,0.007624
Sturnella neglecta,CA-AB,31251,0.007347
Bucephala albeola,CA-AB,57432,0.007230
Pooecetes gramineus,CA-AB,19069,0.007014
Mareca strepera,CA-AB,46729,0.006815
Buteo lagopus,CA-AB,15229,0.006783
Oxyura jamaicensis,CA-AB,35155,0.006760
Anthus spragueii,CA-AB,3079,0.006705
Poecile gambeli,CA-AB,20640,0.006573
Spatula cyanoptera,CA-AB,16280,0.006326
Pelecanus erythrorhynchos,CA-AB,26764,0.006306
Bonasa umbellus,CA-AB,14628,0.006283
Setophaga petechia,CA-AB,64362,0.006174
Accipiter gentilis,CA-AB,5513,0.006041
Anatinae sp.,CA-AB,12113,0.005908
Contopus sordidulus,CA-AB,17955,0.005827
Nucifraga columbiana,CA-AB,7775,0.005736
Passer domesticus,CA-AB,122567,0.005647
Calcarius ornatus,CA-AB,3113,0.005643
Bubo virginianus,CA-AB,20655,0.005422
Centronyx bairdii,CA-AB,1611,0.005284
Cygnus columbianus,CA-AB,12510,0.005281
Colaptes auratus,CA-AB,114739,0.005160
