Bird,State,Count,Score
Larus,CA-NL,141539,0.119363
Larus,CA-NU,15086,0.094520
Calidris,CA-NU,13951,0.087409
Larus,CA-NS,277123,0.071178
Larus,CA-NB,106988,0.069194
Corvus,CA-NL,80962,0.068277
Setophaga,MX-ROO,60327,0.067856
Larus,CA-PE,18742,0.066807
Setophaga,US-ME,593940,0.064758
Larus,US-RI,134161,0.063970
Corvus,CA-PE,17684,0.063036
Corvus,CA-NS,245151,0.062966
Corvus,CA-NB,96654,0.062510
Larus,US-AK,293920,0.062194
Acridotheres,US-HI,89440,0.061424
Setophaga,US-FL,2139095,0.058998
Setophaga,US-NH,285427,0.058404
Corvus,CA-NT,13154,0.057730
Setophaga,CA-NS,223478,0.057399
Zosterops,US-HI,82840,0.056892
Setophaga,CA-NB,87435,0.056548
Setophaga,CA-PE,15673,0.055867
Setophaga,CA-NT,12729,0.055865
Anas,CA-NL,64609,0.054486
Geopelia,US-HI,78346,0.053805
Branta,CA-NU,8562,0.053645
Stercorarius,CA-NU,8505,0.053287
Setophaga,US-GA,659981,0.053099
Corvus,CA-QC,1498228,0.053090
Zenaida,MX-COA,4103,0.052338
Setophaga,US-VT,346101,0.052053
Larus,US-ME,470161,0.051263
Larus,CA-NT,11573,0.050791
Corvus,CA-AB,333093,0.050353
Gavia,CA-NU,8013,0.050205
Setophaga,CA-NL,59369,0.050067
Corvus,CA-BC,954472,0.049617
Zenaida,MX-ZAC,379,0.049491
Calcarius,CA-NU,7884,0.049397
Corvus,US-VT,325282,0.048922
Setophaga,US-NC,731283,0.048911
Larus,MX-BCN,32499,0.048759
Setophaga,MX-CAM,11412,0.048736
Corvus,CA-MB,135701,0.048064
Setophaga,US-AL,205713,0.047413
Larus,CA-QC,1334355,0.047283
Setophaga,US-SC,396109,0.047137
Setophaga,MX-TAB,6257,0.046985
Setophaga,CA-ON,1716638,0.046509
Setophaga,CA-QC,1311194,0.046463
Anas,US-AK,219036,0.046348
Setophaga,US-DC,75508,0.045528
Setophaga,US-OH,1106472,0.045508
Zenaida,MX-AGU,2261,0.045332
Anas,CA-YT,31823,0.045148
Corvus,US-ME,412406,0.044965
Corvus,US-DC,74079,0.044666
Setophaga,CA-YT,31460,0.044633
Poecile,US-VT,296739,0.044629
Somateria,CA-NU,7084,0.044384
Corvus,US-WV,120310,0.044082
Anser,CA-NU,7032,0.044058
Egretta,US-FL,1584817,0.043711
Melospiza,CA-NS,169890,0.043635
Zenaida,MX-GUA,5895,0.043440
Streptopelia,US-HI,63162,0.043378
Plectrophenax,CA-NU,6824,0.042755
Setophaga,US-WV,115586,0.042351
Corvus,US-VA,843977,0.041626
Icterus,MX-ROO,36911,0.041518
Poecile,US-NH,202762,0.041489
Setophaga,US-NY,1663565,0.041378
Zenaida,US-AZ,916998,0.041369
Poecile,CA-AB,273431,0.041334
Anas,CA-NS,160061,0.041111
Corvus,US-MN,459935,0.040863
Corvus,US-WA,961797,0.040835
Zenaida,MX-CHH,4801,0.040779
Corvus,CA-YT,28742,0.040777
Larus,US-MA,953627,0.040757
Setophaga,US-NJ,839718,0.040701
Corvus,CA-SK,72701,0.040457
Setophaga,MX-CHP,37260,0.040384
Corvus,US-WY,81776,0.040194
Anas,CA-AB,264745,0.040021
Poecile,CA-NL,47433,0.040001
Setophaga,US-TN,354544,0.040001
Poecile,US-MN,448373,0.039836
Setophaga,MX-YUC,36858,0.039718
Poecile,CA-NS,154595,0.039707
Icterus,MX-COL,6753,0.039420
Anas,CA-QC,1111086,0.039372
Zenaida,US-NM,293725,0.039291
Melospiza,CA-PE,10995,0.039192
Ardea,US-FL,1419010,0.039138
Corvus,US-AK,184871,0.039119
Poecile,CA-NB,60285,0.038989
Setophaga,US-MA,911865,0.038972
Paroaria,US-HI,56710,0.038947
Corvus,US-NM,291113,0.038942
Haemorhous,MX-TLA,501,0.038898
Dryobates,US-MN,436581,0.038788
Setophaga,CA-MB,109304,0.038714
Corvus,US-NH,188968,0.038666
Pica,CA-AB,255731,0.038658
Cardinalis,US-AL,167600,0.038629
Setophaga,US-WI,775840,0.038593
Poecile,CA-QC,1087392,0.038532
Cardinalis,US-AR,133523,0.038497
Cardinalis,US-GA,477796,0.038441
Cardinalis,US-KY,158980,0.038400
Setophaga,US-MS,98694,0.038350
Corvus,US-MD,775958,0.038242
Junco,CA-NL,45233,0.038146
Setophaga,US-MI,838775,0.037912
Corvus,US-PA,1038146,0.037899
Pluvialis,US-HI,55064,0.037816
Corvus,US-AR,130691,0.037681
Setophaga,US-IL,751287,0.037592
Zenaida,US-TX,1669430,0.037543
Turdus,US-DC,62170,0.037485
Corvus,US-NC,559762,0.037439
Cardinalis,US-TN,331627,0.037416
Setophaga,US-MN,420879,0.037393
Larus,CA-YT,26341,0.037371
