Bird,State,Count,Score
Corvus,CA-AB,333093,0.050353
Poecile,CA-AB,273431,0.041334
Anas,CA-AB,264745,0.040021
Pica,CA-AB,255731,0.038658
Branta,CA-AB,189411,0.028633
Turdus,CA-AB,181191,0.027390
Setophaga,CA-AB,169219,0.025580
Sitta,CA-AB,163991,0.024790
Dryobates,CA-AB,162808,0.024611
Aythya,CA-AB,155041,0.023437
Bucephala,CA-AB,148856,0.022502
Larus,CA-AB,136857,0.020688
Spatula,CA-AB,133449,0.020173
Buteo,CA-AB,131931,0.019944
Passer,CA-AB,122567,0.018528
Mareca,CA-AB,115670,0.017485
Spizella,CA-AB,115002,0.017384
Colaptes,CA-AB,114739,0.017345
Agelaius,CA-AB,108519,0.016404
Spinus,CA-AB,101194,0.015297
Melospiza,CA-AB,94545,0.014292
Cyanocitta,CA-AB,94079,0.014222
Sturnus,CA-AB,86227,0.013035
Zonotrichia,CA-AB,86111,0.013017
Haemorhous,CA-AB,82136,0.012416
Bombycilla,CA-AB,81436,0.012310
Tachycineta,CA-AB,79907,0.012079
Podiceps,CA-AB,71572,0.010819
Fulica,CA-AB,70378,0.010639
Columba,CA-AB,69786,0.010549
Tringa,CA-AB,69406,0.010492
Leucophaeus,CA-AB,66081,0.009989
Junco,CA-AB,63920,0.009663
Charadrius,CA-AB,58245,0.008805
Empidonax,CA-AB,57535,0.008697
Passerculus,CA-AB,56696,0.008571
Falco,CA-AB,55854,0.008443
Troglodytes,CA-AB,55086,0.008327
Mergus,CA-AB,54097,0.008178
Vireo,CA-AB,54066,0.008173
Molothrus,CA-AB,47505,0.007181
Haliaeetus,CA-AB,45552,0.006886
Leiothlypis,CA-AB,42069,0.006359
Catharus,CA-AB,39604,0.005987
Tyrannus,CA-AB,35950,0.005434
Calidris,CA-AB,35541,0.005373
Oxyura,CA-AB,35155,0.005314
Actitis,CA-AB,34677,0.005242
Nannopterum,CA-AB,33988,0.005138
Hirundo,CA-AB,33950,0.005132
Ardea,CA-AB,33193,0.005018
Gallinago,CA-AB,32830,0.004963
Xanthocephalus,CA-AB,32356,0.004891
Circus,CA-AB,32188,0.004866
Corthylio,CA-AB,31692,0.004791
Acanthis,CA-AB,31671,0.004788
Sturnella,CA-AB,31252,0.004724
Quiscalus,CA-AB,29818,0.004507
Euphagus,CA-AB,29029,0.004388
Accipiter,CA-AB,27851,0.004210
Geothlypis,CA-AB,27195,0.004111
Bubo,CA-AB,27177,0.004108
Pelecanus,CA-AB,26764,0.004046
Cygnus,CA-AB,24759,0.003743
Recurvirostra,CA-AB,24602,0.003719
Porzana,CA-AB,23901,0.003613
Zenaida,CA-AB,23520,0.003555
Dryocopus,CA-AB,23426,0.003541
Pandion,CA-AB,23023,0.003480
Contopus,CA-AB,22573,0.003412
Dumetella,CA-AB,21787,0.003293
Phalaropus,CA-AB,21649,0.003273
Perisoreus,CA-AB,21425,0.003239
Gavia,CA-AB,20677,0.003126
Loxia,CA-AB,20120,0.003041
Pooecetes,CA-AB,19069,0.002883
Anser,CA-AB,18746,0.002834
Sphyrapicus,CA-AB,18282,0.002764
Sialia,CA-AB,17481,0.002643
Chlidonias,CA-AB,17438,0.002636
Petrochelidon,CA-AB,17231,0.002605
Megaceryle,CA-AB,16885,0.002552
Cardellina,CA-AB,16715,0.002527
Sterna,CA-AB,16701,0.002525
Pinicola,CA-AB,16662,0.002519
Himantopus,CA-AB,16464,0.002489
Icterus,CA-AB,15676,0.002370
Phasianus,CA-AB,15419,0.002331
Limosa,CA-AB,15251,0.002305
Bonasa,CA-AB,14628,0.002211
Podilymbus,CA-AB,14526,0.002196
Regulus,CA-AB,14407,0.002178
Eremophila,CA-AB,14141,0.002138
Pheucticus,CA-AB,13588,0.002054
Lophodytes,CA-AB,13537,0.002046
Aechmophorus,CA-AB,13148,0.001988
Riparia,CA-AB,13113,0.001982
Spizelloides,CA-AB,12874,0.001946
Seiurus,CA-AB,12805,0.001936
Streptopelia,CA-AB,12724,0.001923
Perdix,CA-AB,12219,0.001847
Anatinae,CA-AB,12113,0.001831
Sayornis,CA-AB,11960,0.001808
Ammospiza,CA-AB,11094,0.001677
Lanius,CA-AB,10975,0.001659
Chroicocephalus,CA-AB,10957,0.001656
Aix,CA-AB,10869,0.001643
Stelgidopteryx,CA-AB,10522,0.001591
Coccothraustes,CA-AB,10123,0.001530
Cistothorus,CA-AB,10104,0.001527
Parkesia,CA-AB,9923,0.001500
Anthus,CA-AB,9836,0.001487
Piranga,CA-AB,9594,0.001450
Limnodromus,CA-AB,9571,0.001447
Certhia,CA-AB,9542,0.001442
Plegadis,CA-AB,9252,0.001399
Antigone,CA-AB,8071,0.001220
Picoides,CA-AB,7861,0.001188
Selasphorus,CA-AB,7797,0.001179
Nucifraga,CA-AB,7775,0.001175
Myadestes,CA-AB,6605,0.000998
Nycticorax,CA-AB,6469,0.000978
Plectrophenax,CA-AB,6433,0.000972
Archilochus,CA-AB,6400,0.000967
Calcarius,CA-AB,6286,0.000950
Aquila,CA-AB,6175,0.000933
Ixoreus,CA-AB,6070,0.000918
Mniotilta,CA-AB,5845,0.000884
Pluvialis,CA-AB,5505,0.000832
Cinclus,CA-AB,5478,0.000828
Cathartes,CA-AB,5474,0.000827
Progne,CA-AB,5354,0.000809
Melanitta,CA-AB,5323,0.000805
Chordeiles,CA-AB,4450,0.000673
Histrionicus,CA-AB,4392,0.000664
Toxostoma,CA-AB,4248,0.000642
Pipilo,CA-AB,4226,0.000639
Passerellidae,CA-AB,4202,0.000635
Asio,CA-AB,4049,0.000612
Numenius,CA-AB,3775,0.000571
Botaurus,CA-AB,2763,0.000418
Tympanuchus,CA-AB,2703,0.000409
Passerella,CA-AB,2698,0.000408
Aegolius,CA-AB,2520,0.000381
Hirundinidae,CA-AB,2415,0.000365
Chondestes,CA-AB,2313,0.000350
Salpinctes,CA-AB,2037,0.000308
Bartramia,CA-AB,2032,0.000307
Canachites,CA-AB,1851,0.000280
Dolichonyx,CA-AB,1825,0.000276
Leucosticte,CA-AB,1775,0.000268
Passeriformes,CA-AB,1772,0.000268
Hydroprogne,CA-AB,1702,0.000257
Accipitridae,CA-AB,1643,0.000248
Centronyx,CA-AB,1611,0.000244
Glaucidium,CA-AB,1572,0.000238
Oporornis,CA-AB,1460,0.000221
Passerina,CA-AB,1431,0.000216
Icteridae,CA-AB,1347,0.000204
Strix,CA-AB,1275,0.000193
Charadriiformes,CA-AB,1241,0.000188
Picidae,CA-AB,1222,0.000185
Clangula,CA-AB,1065,0.000161
Calamospiza,CA-AB,1056,0.000160
Parulidae,CA-AB,1043,0.000158
Rhynchophanes,CA-AB,997,0.000151
Coturnicops,CA-AB,947,0.000143
Lagopus,CA-AB,878,0.000133
Ammodramus,CA-AB,768,0.000116
Meleagris,CA-AB,724,0.000109
Dendragapus,CA-AB,715,0.000108
Myiarchus,CA-AB,650,0.000098
Rallus,CA-AB,606,0.000092
Icteria,CA-AB,550,0.000083
Anatidae,CA-AB,532,0.000080
Xema,CA-AB,527,0.000080
Cypseloides,CA-AB,414,0.000063
Arenaria,CA-AB,414,0.000063
Melanerpes,CA-AB,398,0.000060
Calypte,CA-AB,289,0.000044
Mimus,CA-AB,260,0.000039
Coccyzus,CA-AB,232,0.000035
Phalaenoptilus,CA-AB,189,0.000029
Grus,CA-AB,177,0.000027
Strigiformes,CA-AB,169,0.000026
Stercorarius,CA-AB,151,0.000023
Egretta,CA-AB,127,0.000019
Cardinalis,CA-AB,123,0.000019
Rissa,CA-AB,121,0.000018
Tetraoninae,CA-AB,118,0.000018
Chaetura,CA-AB,61,0.000009
Fringillidae,CA-AB,60,0.000009
Hydrocoloeus,CA-AB,54,0.000008
Oreoscoptes,CA-AB,53,0.000008
Bubulcus,CA-AB,41,0.000006
Alectoris,CA-AB,40,0.000006
Sternula,CA-AB,36,0.000005
Tyrannidae,CA-AB,36,0.000005
Podicipedidae,CA-AB,34,0.000005
Somateria,CA-AB,31,0.000005
Butorides,CA-AB,30,0.000005
Fringilla,CA-AB,27,0.000004
Megascops,CA-AB,27,0.000004
Protonotaria,CA-AB,25,0.000004
Polioptila,CA-AB,24,0.000004
Patagioenas,CA-AB,19,0.000003
Troglodytidae,CA-AB,17,0.000003
Caracara,CA-AB,17,0.000003
Spiza,CA-AB,16,0.000002
Artemisiospiza,CA-AB,11,0.000002
Charadriidae,CA-AB,8,0.000001
Hylocichla,CA-AB,7,0.000001
Aves,CA-AB,6,0.000001
Carduelis,CA-AB,6,0.000001
Synthliboramphus,CA-AB,5,0.000001
Vermivora,CA-AB,5,0.000001
Scolopacidae,CA-AB,5,0.000001
Apodidae,CA-AB,3,0.000000
Numida,CA-AB,3,0.000000
Ardeidae,CA-AB,3,0.000000
Corvidae,CA-AB,2,0.000000
Amphispiza,CA-AB,2,0.000000
Phalacrocoracidae,CA-AB,2,0.000000
Columbidae,CA-AB,2,0.000000
Psittaciformes,CA-AB,2,0.000000
Colinus,CA-AB,2,0.000000
Peucaea,CA-AB,1,0.000000
Sibirionetta,CA-AB,1,0.000000
Coragyps,CA-AB,1,0.000000
Catherpes,CA-AB,1,0.000000
Aeronautes,CA-AB,1,0.000000
Helmitheros,CA-AB,1,0.000000
Melopsittacus,CA-AB,1,0.000000
Callipepla,CA-AB,1,0.000000
Psittacara,CA-AB,1,0.000000
Corvus,CA-BC,954472,0.049617
Larus,CA-BC,710123,0.036915
Poecile,CA-BC,688984,0.035816
Anas,CA-BC,668076,0.034729
Melospiza,CA-BC,587494,0.030540
Turdus,CA-BC,574708,0.029876
Colaptes,CA-BC,476541,0.024772
Spinus,CA-BC,435416,0.022635
Junco,CA-BC,418987,0.021781
Haemorhous,CA-BC,414614,0.021553
Setophaga,CA-BC,411091,0.021370
Pipilo,CA-BC,402839,0.020941
Branta,CA-BC,394318,0.020498
Zonotrichia,CA-BC,378129,0.019657
Haliaeetus,CA-BC,352974,0.018349
Bucephala,CA-BC,351687,0.018282
Sturnus,CA-BC,325426,0.016917
Sitta,CA-BC,294618,0.015315
Mareca,CA-BC,291618,0.015159
Tachycineta,CA-BC,274638,0.014277
Agelaius,CA-BC,270377,0.014055
Ardea,CA-BC,265881,0.013822
Calypte,CA-BC,254360,0.013223
Dryobates,CA-BC,252900,0.013147
Aythya,CA-BC,219238,0.011397
Empidonax,CA-BC,199678,0.010380
Cyanocitta,CA-BC,197923,0.010289
Mergus,CA-BC,190032,0.009879
Buteo,CA-BC,186644,0.009702
Passer,CA-BC,174915,0.009093
Troglodytes,CA-BC,173452,0.009017
