Bird,State,Count,Score
Acridotheres tristis,US-HI,89440,0.061424
Zosterops japonicus,US-HI,82840,0.056892
Geopelia striata,US-HI,78346,0.053805
Corvus brachyrhynchos,CA-NL,61800,0.052118
Larus argentatus,CA-NL,58443,0.049286
Calcarius lapponicus,CA-NU,7862,0.049259
Larus hyperboreus,CA-NU,7666,0.048031
Corvus corax,CA-NT,10856,0.047645
Corvus brachyrhynchos,CA-PE,13222,0.047131
Corvus brachyrhynchos,CA-NB,72873,0.047130
Corvus brachyrhynchos,CA-NS,182849,0.046964
Poecile atricapillus,US-VT,295586,0.044456
Streptopelia chinensis,US-HI,63162,0.043378
Plectrophenax nivalis,CA-NU,6824,0.042755
Poecile atricapillus,US-NH,198394,0.040595
Poecile atricapillus,US-MN,443332,0.039388
Haemorhous mexicanus,MX-TLA,501,0.038898
Corvus brachyrhynchos,CA-QC,1093893,0.038763
Pica hudsonia,CA-AB,255731,0.038658
Cardinalis cardinalis,US-AL,167600,0.038629
Cardinalis cardinalis,US-AR,133523,0.038497
Cardinalis cardinalis,US-GA,477796,0.038441
Cardinalis cardinalis,US-KY,158980,0.038400
Corvus corax,CA-YT,26971,0.038265
Junco hyemalis,CA-NL,45233,0.038146
Melospiza melodia,CA-NS,147594,0.037909
Poecile atricapillus,CA-NB,58364,0.037746
Pluvialis fulva,US-HI,54637,0.037523
Turdus migratorius,US-DC,62170,0.037485
Cardinalis cardinalis,US-TN,331627,0.037416
Poecile atricapillus,CA-NS,145082,0.037264
Corvus brachyrhynchos,US-VT,247470,0.037219
Corvus brachyrhynchos,US-ME,340077,0.037079
Cardinalis cardinalis,US-SC,309495,0.036830
Cardinalis cardinalis,US-MO,328095,0.036599
Poecile atricapillus,CA-QC,1032573,0.036590
Turdus migratorius,CA-NL,43338,0.036548
Clangula hyemalis,CA-NU,5788,0.036264
Turdus migratorius,US-NE,103158,0.036179
Zenaida asiatica,MX-COA,2832,0.036125
Cyanocitta cristata,US-VT,239918,0.036083
Cardinalis cardinalis,US-VA,728016,0.035906
Cardinalis cardinalis,US-NC,535006,0.035783
Corvus brachyrhynchos,US-MN,398422,0.035398
Larus argentatus,CA-NS,137082,0.035209
Cardinalis cardinalis,US-DC,57641,0.034755
Turdus migratorius,US-WY,70656,0.034728
Cardinalis cardinalis,US-PA,947363,0.034585
Cardinalis cardinalis,US-IN,350530,0.034472
Cardinalis cardinalis,US-WV,93312,0.034190
Poecile atricapillus,CA-AB,226018,0.034166
Poecile atricapillus,US-ME,312621,0.034086
Haemorhous mexicanus,MX-DIF,20739,0.034031
Quiscalus mexicanus,MX-ROO,29994,0.033737
Bubulcus ibis,US-HI,48950,0.033617
Cardinalis cardinalis,US-MD,681139,0.033569
Haemorhous mexicanus,US-HI,48637,0.033402
Cyanocitta cristata,US-NH,163229,0.033400
Corvus brachyrhynchos,US-WV,89653,0.032849
Cardinalis cardinalis,US-OK,107206,0.032774
Quiscalus mexicanus,MX-TLA,420,0.032609
Turdus migratorius,US-IL,650537,0.032551
Cardinalis cardinalis,US-OH,791329,0.032546
Sturnus vulgaris,US-DC,53975,0.032544
Thryothorus ludovicianus,US-NC,484010,0.032372
Haemorhous mexicanus,US-NM,239709,0.032066
