Bird,State,Count,Score
Zosterops,US-HI,82840,0.366206
Geopelia,US-HI,78346,0.359125
Acridotheres,US-HI,89440,0.346358
Paroaria,US-HI,56710,0.320702
Himatione,US-HI,35689,0.272716
Chlorodrepanis,US-HI,34136,0.268502
Estrilda,US-HI,25798,0.242786
Sicalis,US-HI,23701,0.228012
Pycnonotus,US-HI,33210,0.227991
Padda,US-HI,20197,0.223422
Crithagra,US-HI,19880,0.222049
Copsychus,US-HI,18329,0.215981
Leiothrix,US-HI,17965,0.214470
Chasiempis,US-HI,17400,0.212084
Drepanis,US-HI,17194,0.211202
Ortygornis,US-HI,16235,0.207002
Pternistis,US-HI,12575,0.189296
Phaethon,US-HI,18688,0.188092
Gallus,US-HI,23926,0.187675
Auriparus,US-AZ,386191,0.186737
Lonchura,US-HI,27459,0.178071
Anhinga,US-FL,553383,0.173434
Eudocimus,US-FL,748541,0.173407
Euodice,US-HI,9657,0.172587
Aethia,US-AK,31286,0.170547
Lophura,US-HI,8704,0.166423
Melanoptila,MX-ROO,7434,0.163465
Gygis,US-HI,8096,0.162245
Alauda,US-HI,11496,0.161409
Egretta,US-FL,1584817,0.159356
Garrulax,US-HI,7663,0.159167
Horornis,US-HI,7438,0.157515
Eumomota,MX-YUC,10474,0.156620
Phainopepla,US-AZ,200508,0.155220
Loxops,US-HI,6901,0.153437
Melozone,US-AZ,388898,0.152096
Thraupis,MX-VER,23419,0.146159
Psittacula,US-HI,7725,0.144156
Aramus,US-FL,184399,0.143766
Phaeoptila,MX-OAX,5903,0.141714
Francolinus,US-HI,5267,0.139591
Cynanthus,US-AZ,169527,0.138295
Mycteria,US-FL,284639,0.137302
Penelopina,MX-CHP,2859,0.132267
Psarocolius,MX-VER,11295,0.130892
Cassiculus,MX-NAY,14557,0.130511
Fratercula,US-AK,48084,0.128974
Campylorhynchus,US-AZ,200611,0.128158
Psilorhinus,MX-VER,20858,0.127474
Diglossa,MX-DIF,5831,0.126168
Caracara,US-TX,249608,0.124983
Cantorchilus,MX-CHP,2490,0.123732
Doricha,MX-YUC,3645,0.121018
Cyclarhis,MX-YUC,9274,0.120382
Phoenicopterus,MX-YUC,6151,0.120037
Rissa,US-AK,60795,0.118859
Amandava,US-HI,3185,0.117057
Rupornis,MX-VER,16733,0.115917
Sula,US-HI,22649,0.114201
Coereba,MX-ROO,5172,0.113119
Anous,US-HI,7888,0.112194
Aspatha,MX-CHP,1767,0.111791
Saucerottia,MX-DIF,13512,0.111662
Ramphocelus,MX-CHP,3192,0.110219
Motacilla,US-AK,11750,0.110146
Xenospiza,MX-DIF,1255,0.110125
Gallinula,US-FL,389658,0.110104
Chamaea,US-CA,57649,0.109794
Aphelocoma,US-OR,374161,0.108974
Pyrocephalus,US-AZ,194003,0.108162
Hemignathus,US-HI,2508,0.107665
