Bird,State,Count,Score
Pica,CA-AB,255731,0.092679
Perdix,CA-AB,12219,0.041267
Perisoreus,CA-AB,21425,0.023282
Xanthocephalus,CA-AB,32356,0.022142
Podiceps,CA-AB,71572,0.020762
Bucephala,CA-AB,148856,0.019126
Pinicola,CA-AB,16662,0.018525
Spatula,CA-AB,133449,0.018239
Chlidonias,CA-AB,17438,0.017129
Acanthis,CA-AB,31671,0.016989
Aythya,CA-AB,155041,0.016973
Picoides,CA-AB,7861,0.016213
Recurvirostra,CA-AB,24602,0.015607
Mareca,CA-AB,115670,0.015347
Leucophaeus,CA-AB,66081,0.014755
Porzana,CA-AB,23901,0.014572
Phalaropus,CA-AB,21649,0.013213
Gallinago,CA-AB,32830,0.012997
Limosa,CA-AB,15251,0.012137
Loxia,CA-AB,20120,0.011682
Passerculus,CA-AB,56696,0.010691
Ammospiza,CA-AB,11094,0.010554
Fulica,CA-AB,70378,0.010484
Pooecetes,CA-AB,19069,0.010087
Nucifraga,CA-AB,7775,0.009872
Bonasa,CA-AB,14628,0.009438
Anatinae,CA-AB,12113,0.009181
Anas,CA-AB,264745,0.009036
Poecile,CA-AB,273431,0.008774
Bubo,CA-AB,27177,0.008664
Corvus,CA-AB,333093,0.008469
Oxyura,CA-AB,35155,0.008429
Cinclus,CA-AB,5478,0.008418
Bombycilla,CA-AB,81436,0.008291
Euphagus,CA-AB,29029,0.007562
Branta,CA-AB,189411,0.007554
Coturnicops,CA-AB,947,0.007469
Tympanuchus,CA-AB,2703,0.007192
Himantopus,CA-AB,16464,0.006947
Canachites,CA-AB,1851,0.006879
Phasianus,CA-AB,15419,0.006711
Aechmophorus,CA-AB,13148,0.006030
Empidonax,CA-AB,57535,0.005841
Rhynchophanes,CA-AB,997,0.005753
Oporornis,CA-AB,1460,0.005732
Actitis,CA-AB,34677,0.005696
Spizella,CA-AB,115002,0.005600
Passer,CA-AB,122567,0.005343
Calcarius,CA-AB,6286,0.005283
Sitta,CA-AB,163991,0.005111
Tringa,CA-AB,69406,0.005066
Aquila,CA-AB,6175,0.005056
Riparia,CA-AB,13113,0.004996
Colaptes,CA-AB,114739,0.004878
Mergus,CA-AB,54097,0.004875
Columba,CA-AB,69786,0.004340
Coccothraustes,CA-AB,10123,0.004242
Tachycineta,CA-AB,79907,0.003942
Aegolius,CA-AB,2520,0.003872
Asio,CA-AB,4049,0.003713
Tetraoninae,CA-AB,118,0.003694
Circus,CA-AB,32188,0.003629
Myadestes,CA-AB,6605,0.003545
Buteo,CA-AB,131931,0.003433
Anser,CA-AB,18746,0.003206
Plectrophenax,CA-AB,6433,0.003154
Leucosticte,CA-AB,1775,0.003018
Histrionicus,CA-AB,4392,0.002931
Anthus,CA-AB,9836,0.002628
Ixoreus,CA-AB,6070,0.002549
Leiothlypis,CA-AB,42069,0.002524
Falco,CA-AB,55854,0.002223
Pelecanus,CA-AB,26764,0.002191
Petrochelidon,CA-AB,17231,0.002189
Passerellidae,CA-AB,4202,0.002150
Turdus,CA-AB,181191,0.002095
Centronyx,CA-AB,1611,0.002093
Troglodytes,CA-AB,55086,0.002083
Lagopus,CA-AB,878,0.001995
Cygnus,CA-AB,24759,0.001858
Sturnella,CA-AB,31252,0.001728
Bartramia,CA-AB,2032,0.001625
Eremophila,CA-AB,14141,0.001600
Chroicocephalus,CA-AB,10957,0.001589
Cardellina,CA-AB,16715,0.001585
Glaucidium,CA-AB,1572,0.001505
Dryobates,CA-AB,162808,0.001253
Charadriiformes,CA-AB,1241,0.001167
Cypseloides,CA-AB,414,0.001148
Plegadis,CA-AB,9252,0.001089
Haliaeetus,CA-AB,45552,0.001081
Accipitridae,CA-AB,1643,0.000941
Dendragapus,CA-AB,715,0.000741
Limnodromus,CA-AB,9571,0.000728
Strigiformes,CA-AB,169,0.000651
Picidae,CA-AB,1222,0.000632
Xema,CA-AB,527,0.000545
Calamospiza,CA-AB,1056,0.000262
Zonotrichia,CA-AB,86111,0.000238
Lanius,CA-AB,10975,0.000161
Sterna,CA-AB,16701,0.000151
Catharus,CA-AB,39604,0.000092
Molothrus,CA-AB,47505,0.000059
Parkesia,CA-AB,9923,0.000012
Setophaga,CA-AB,169219,0.000000
Larus,CA-AB,136857,0.000000
Agelaius,CA-AB,108519,0.000000
Spinus,CA-AB,101194,0.000000
Melospiza,CA-AB,94545,0.000000
Cyanocitta,CA-AB,94079,0.000000
Sturnus,CA-AB,86227,0.000000
Haemorhous,CA-AB,82136,0.000000
Junco,CA-AB,63920,0.000000
Charadrius,CA-AB,58245,0.000000
Vireo,CA-AB,54066,0.000000
Tyrannus,CA-AB,35950,0.000000
Calidris,CA-AB,35541,0.000000
Nannopterum,CA-AB,33988,0.000000
Hirundo,CA-AB,33950,0.000000
Ardea,CA-AB,33193,0.000000
Corthylio,CA-AB,31692,0.000000
Quiscalus,CA-AB,29818,0.000000
Accipiter,CA-AB,27851,0.000000
Geothlypis,CA-AB,27195,0.000000
Zenaida,CA-AB,23520,0.000000
Dryocopus,CA-AB,23426,0.000000
Pandion,CA-AB,23023,0.000000
Contopus,CA-AB,22573,0.000000
Dumetella,CA-AB,21787,0.000000
Gavia,CA-AB,20677,0.000000
Sphyrapicus,CA-AB,18282,0.000000
Sialia,CA-AB,17481,0.000000
Megaceryle,CA-AB,16885,0.000000
Icterus,CA-AB,15676,0.000000
Podilymbus,CA-AB,14526,0.000000
Regulus,CA-AB,14407,0.000000
Pheucticus,CA-AB,13588,0.000000
Lophodytes,CA-AB,13537,0.000000
Spizelloides,CA-AB,12874,0.000000
Seiurus,CA-AB,12805,0.000000
