Bird,State,Count,Score
Zosterops japonicus,US-HI,82840,0.366206
Geopelia striata,US-HI,78346,0.359125
Acridotheres tristis,US-HI,89440,0.351507
Streptopelia chinensis,US-HI,63162,0.320993
Paroaria coronata,US-HI,39698,0.283061
Himatione sanguinea,US-HI,35689,0.272716
Pluvialis fulva,US-HI,54637,0.257534
Chlorodrepanis virens,US-HI,29234,0.254321
Estrilda astrild,US-HI,25340,0.241896
Sicalis flaveola,US-HI,23701,0.235820
Melanerpes uropygialis,US-AZ,443649,0.235609
Fulica alai,US-HI,22293,0.231301
Padda oryzivora,US-HI,20197,0.223422
Melozone albicollis,MX-OAX,11837,0.222726
Crithagra mozambica,US-HI,19880,0.222049
Pycnonotus cafer,US-HI,24792,0.217580
Branta sandvicensis,US-HI,18412,0.216322
Copsychus malabaricus,US-HI,18329,0.215981
Leiothrix lutea,US-HI,17965,0.214470
Drepanis coccinea,US-HI,17194,0.211202
Paroaria capitata,US-HI,17012,0.210417
Ortygornis pondicerianus,US-HI,16235,0.207002
Myadestes obscurus,US-HI,16063,0.206231
Melozone aberti,US-AZ,262829,0.195249
Melozone crissalis,US-CA,124793,0.193045
Chasiempis sandwichensis,US-HI,13102,0.192036
Pternistis erckelii,US-HI,12575,0.189296
Auriparus flaviceps,US-AZ,386191,0.186737
Fregata minor,US-HI,12160,0.186456
Phaethon lepturus,US-HI,12724,0.182063
Ardenna pacifica,US-HI,11949,0.179891
Baeolophus atricristatus,US-TX,365712,0.176285
Lonchura atricapilla,US-HI,10156,0.175646
Basilinna xantusii,MX-BCS,4183,0.175411
Zonotrichia capensis,MX-CHP,6213,0.173592
Callipepla gambelii,US-AZ,281419,0.173512
Anhinga anhinga,US-FL,553383,0.173434
Eudocimus albus,US-FL,748541,0.173407
Gallus gallus,US-HI,9785,0.173326
Euodice cantans,US-HI,9657,0.172587
Sula sula,US-HI,11029,0.171410
Aphelocoma californica,US-OR,374161,0.171374
Dryobates nuttallii,US-CA,74045,0.171133
Mimus gilvus,MX-ROO,24326,0.169560
Lophura leucomelanos,US-HI,8704,0.166423
Vireo magister,MX-ROO,5376,0.166197
Toxostoma cinereum,MX-BCS,4810,0.164250
Campylorhynchus zonatus,MX-VER,15778,0.163944
Melanoptila glabrirostris,MX-ROO,7434,0.163465
Baeolophus wollweberi,US-AZ,147289,0.162954
Gygis alba,US-HI,8096,0.162245
Alauda arvensis,US-HI,11496,0.161409
Corvus sinaloae,MX-NAY,10529,0.161138
Garrulax canorus,US-HI,7663,0.159167
Horornis diphone,US-HI,7438,0.157515
Eumomota superciliosa,MX-YUC,10474,0.156620
Phainopepla nitens,US-AZ,200508,0.155220
Ortalis wagleri,MX-NAY,9364,0.154624
Quiscalus major,US-FL,540152,0.151374
Turdus rufitorques,MX-CHP,4170,0.150981
Fratercula corniculata,US-AK,22891,0.150962
Aphelocoma wollweberi,US-AZ,130540,0.149423
Buteo solitarius,US-HI,6308,0.148687
Toxostoma curvirostre,US-AZ,293199,0.147367
Geothlypis beldingi,MX-BCS,2371,0.146605
Cynanthus latirostris,US-AZ,169527,0.146419
Baeolophus inornatus,US-CA,64598,0.145206
Quiscalus mexicanus,US-TX,794651,0.144875
Psittacula krameri,US-HI,7725,0.144156
Colinus nigrogularis,MX-YUC,4896,0.144057
Aramus guarauna,US-FL,184399,0.143766
Mimus gilvus,MX-YUC,20945,0.143738
Campylorhynchus brunneicapillus,US-AZ,200611,0.142267
Phaeoptila sordida,MX-OAX,5903,0.141714
Phaethon rubricauda,US-HI,5484,0.141359
Anous minutus,US-HI,6260,0.141124
Vireo pallens,MX-YUC,8657,0.140138
Leiothlypis luciae,US-AZ,123067,0.140071
Francolinus francolinus,US-HI,5267,0.139591
Melanerpes aurifrons,US-TX,326325,0.139002
Gallus gallus (Domestic type),US-HI,14141,0.137985
Mycteria americana,US-FL,284639,0.137302
Larus glaucescens,CA-BC,358285,0.136408
Tyrannus forficatus,US-TX,327041,0.135146
Egretta caerulea,US-FL,558321,0.134891
Cynanthus forficatus,MX-ROO,2880,0.134374
Campylorhynchus yucatanicus,MX-YUC,3155,0.133992
Zenaida asiatica,US-TX,742445,0.133982
Lonchura punctulata,US-HI,17303,0.132777
Anas wyvilliana,US-HI,4557,0.132693
Penelopina nigra,MX-CHP,2859,0.132267
Cyanocorax dickeyi,MX-SIN,942,0.132045
Polioptila melanura,US-AZ,119695,0.131545
Icterus abeillei,MX-DIF,5882,0.131349
Tringa incana,US-HI,21285,0.131091
Cassiculus melanicterus,MX-NAY,14557,0.130511
Melanerpes pygmaeus,MX-ROO,7829,0.129961
Egretta tricolor,US-FL,454977,0.129580
Peucaea carpalis,US-AZ,73068,0.129538
Cyanocorax yucatanicus,MX-ROO,10200,0.129438
Melanerpes chrysogenys,MX-NAY,15411,0.129374
Psarocolius montezuma,MX-VER,10546,0.129354
Sterna paradisaea,US-AK,49261,0.128791
Psilorhinus morio,MX-VER,20858,0.127474
Eupherusa poliocerca,MX-GRO,318,0.127266
Doricha eliza,MX-YUC,3645,0.127192
Peucaea mystacalis,MX-OAX,2814,0.127001
Diglossa baritula,MX-DIF,5831,0.126168
Selasphorus sasin,US-CA,37169,0.126083
Saucerottia beryllina,MX-DIF,13512,0.125998
Calidris ptilocnemis,US-AK,18728,0.125425
Caracara plancus,US-TX,249608,0.124983
Thraupis abbas,MX-VER,13398,0.124899
Cantorchilus modestus,MX-CHP,2490,0.123732
Urile urile,US-AK,12099,0.123319
Fratercula cirrhata,US-AK,25193,0.122797
Pycnonotus jocosus,US-HI,8418,0.122511
Lampornis viridipallens,MX-CHP,2245,0.121386
Troglodytes rufociliatus,MX-CHP,2231,0.121297
Calocitta colliei,MX-NAY,8276,0.121152
Loxops mana,US-HI,3468,0.120597
Toxostoma redivivum,US-CA,30314,0.120387
Cyclarhis gujanensis,MX-YUC,9274,0.120382
Phoenicopterus ruber,MX-YUC,6151,0.120037
Polioptila albiventris,MX-YUC,2221,0.119326
Toxostoma longirostre,US-TX,118995,0.118156
Cairina moschata,US-FL,97493,0.117174
Amandava amandava,US-HI,3185,0.117057
Aethia psittacula,US-AK,11024,0.116875
Melanotis hypoleucus,MX-CHP,2001,0.116764
Chasiempis sclateri,US-HI,3099,0.115941
Rupornis magnirostris,MX-VER,16733,0.115917
Aethia cristatella,US-AK,10114,0.115552
Cyanocorax yucatanicus,MX-YUC,9232,0.115365
Empidonax flavescens,MX-CHP,2309,0.115106
Selasphorus platycercus,US-CO,174912,0.114375
Loxops coccineus,US-HI,2926,0.113633
Aethia pusilla,US-AK,9479,0.113207
Melanerpes hypopolius,MX-OAX,3132,0.113124
Coereba flaveola,MX-ROO,5172,0.113119
Myioborus pictus,US-AZ,72658,0.112775
Aspatha gularis,MX-CHP,1767,0.111791
Patagioenas cayennensis,MX-TAB,1230,0.111608
Junco phaeonotus,US-AZ,70541,0.111583
Cyanocorax yncas,US-TX,150450,0.111354
Campylorhynchus jocosus,MX-OAX,2788,0.110967
Vireo bairdi,MX-ROO,1657,0.110736
Chlorodrepanis flava,US-HI,2697,0.110438
Xenospiza baileyi,MX-DIF,1255,0.110125
Gallinula galeata,US-FL,389658,0.110104
Chamaea fasciata,US-CA,57649,0.109794
Polioptila albiloris,MX-OAX,3134,0.109598
Cynanthus doubledayi,MX-OAX,2340,0.109378
Icterus auratus,MX-YUC,5756,0.109357
Rissa tridactyla,US-AK,54048,0.108728
Dryobates arizonae,US-AZ,47770,0.108580
Spinus psaltria,US-AZ,431522,0.108571
Pyrocephalus rubinus,US-AZ,194003,0.108162
Larus brachyrhynchus,US-AK,100304,0.107812
Campylorhynchus chiapensis,MX-CHP,1593,0.107808
Hemignathus wilsoni,US-HI,2508,0.107665
Columbina talpacoti,MX-YUC,18427,0.107348
Cistothorus platensis,MX-DIF,1636,0.107340
Amphispiza bilineata,US-AZ,137441,0.107221
Peucaea humeralis,MX-MOR,1049,0.106872
Amazilia rutila,MX-YUC,13629,0.106785
Atticora pileata,MX-CHP,1549,0.106711
Cyanocorax sanblasianus,MX-JAL,4286,0.106649
Zimmerius vilissimus,MX-CHP,1516,0.105954
Sayornis nigricans,US-CA,186372,0.105765
Eugenes fulgens,US-AZ,59354,0.105678
Pica nuttalli,US-CA,17869,0.105646
Calypte costae,US-AZ,79549,0.105589
Catharus dryas,MX-CHP,1501,0.105586
Pheugopedius felix,MX-NAY,9182,0.105482
Melanerpes formicivorus,US-AZ,172151,0.104715
Plegadis falcinellus,US-FL,231267,0.104476
Brotogeris jugularis,MX-CHP,1445,0.104190
Glaucidium sanchezi,MX-TAM,356,0.104163
Elanoides forficatus,US-FL,111055,0.104067
Bulweria bulwerii,US-HI,2282,0.103927
Colaptes chrysoides,US-AZ,47179,0.103913
Columbina passerina,US-FL,213643,0.103707
Pharomachrus mocinno,MX-CHP,1420,0.103508
Thraupis episcopus,MX-VER,10021,0.103505
Icterus prosthemelas,MX-ROO,3595,0.102948
Chlorodrepanis stejnegeri,US-HI,2205,0.102921
Saucerottia cyanocephala,MX-VER,5219,0.102591
Trogon citreolus,MX-NAY,6803,0.102247
Onychoprion aleuticus,US-AK,7065,0.102154
Meleagris ocellata,MX-CAM,928,0.101239
Paroreomyza montana,US-HI,2097,0.101128
Icterus pustulatus,MX-NAY,15294,0.100487
Cyanolyca pumilo,MX-CHP,1300,0.100405
Tyrannus couchii,US-TX,110055,0.100344
Rissa brevirostris,US-AK,6747,0.100257
Melozone leucotis,MX-CHP,1281,0.099889
Anas fulvigula,US-FL,206140,0.099836
Thryophilus sinaloa,MX-NAY,8364,0.099660
Stilpnia larvata,MX-CHP,1532,0.099299
Trogon melanocephalus,MX-ROO,5868,0.099253
Trogon collaris,MX-CHP,4054,0.098888
Polysticta stelleri,US-AK,7277,0.098750
Nannopterum brasilianum,US-TX,234429,0.098615
Calocitta formosa,MX-OAX,5450,0.098592
Geothlypis speciosa,MX-MEX,514,0.098562
Setophaga palmarum,US-FL,553185,0.098423
Motacilla tschutschensis,US-AK,6802,0.098244
Ptiliogonys cinereus,MX-DIF,8935,0.098223
Sporophila morelleti,MX-VER,13103,0.098142
Aimophila notosticta,MX-OAX,1192,0.098025
Magumma parva,US-HI,1914,0.097947
Dendrocygna autumnalis,US-TX,253942,0.097942
Geothlypis nelsoni,MX-DIF,1806,0.097700
Elaenia martinica,MX-ROO,1148,0.097388
Euphonia godmani,MX-NAY,4019,0.096773
Melanerpes pucherani,MX-CHP,1497,0.096695
Aramides albiventris,MX-VER,4825,0.096595
Loxioides bailleui,US-HI,1839,0.096586
Larus glaucescens,US-WA,281727,0.096453
Sitta pusilla,US-GA,176715,0.096441
Patagioenas flavirostris,MX-VER,15131,0.096397
Pica hudsonia,US-CO,387306,0.096090
Poecile rufescens,US-WA,268543,0.095937
Icterus auratus,MX-ROO,4972,0.095862
Dives dives,MX-VER,18820,0.095861
Chlorophonia occipitalis,MX-CHP,1887,0.095711
Poecile rufescens,CA-BC,246942,0.095603
Ortalis leucogastra,MX-CHP,1128,0.095539
Ramphocelus passerinii,MX-CHP,1385,0.095318
Larus occidentalis,US-CA,90542,0.094668
Icterus wagleri,MX-OAX,6493,0.094391
Abeillia abeillei,MX-CHP,1239,0.094138
Phylloscopus borealis,US-AK,5694,0.094128
Pitangus sulphuratus,US-TX,187667,0.093955
Eupsittula nana,MX-ROO,8897,0.093657
Pica hudsonia,CA-AB,255731,0.093427
Aratinga nenday,US-FL,47057,0.093392
Dryobates scalaris,US-AZ,227618,0.093247
Somateria fischeri,US-AK,5432,0.093164
Phoebastria immutabilis,US-HI,6290,0.093132
Chiroxiphia linearis,MX-CHP,1147,0.093111
Larus livens,MX-BCS,4612,0.093048
Laterallus exilis,MX-VER,1793,0.092982
Arremonops rufivirgatus,US-TX,82550,0.092779
