Bird,State,Count,Score
Pica hudsonia,CA-AB,255731,0.093427
Leucophaeus pipixcan,CA-AB,66081,0.065300
Spizella pallida,CA-AB,61460,0.056657
Perdix perdix,CA-AB,12219,0.041267
Bombycilla garrulus,CA-AB,25466,0.039864
Poecile hudsonicus,CA-AB,26129,0.037531
Buteo swainsoni,CA-AB,42894,0.033866
Corvus corax,CA-AB,171568,0.026008
Ammospiza leconteii,CA-AB,8236,0.025391
Podiceps grisegena,CA-AB,30463,0.024192
Perisoreus canadensis,CA-AB,21425,0.023282
Bucephala clangula,CA-AB,82530,0.023183
Xanthocephalus xanthocephalus,CA-AB,32356,0.022142
Loxia leucoptera,CA-AB,14861,0.021956
Larus californicus,CA-AB,33337,0.020344
Picoides dorsalis,CA-AB,5674,0.019483
Podiceps nigricollis,CA-AB,23193,0.018625
Pinicola enucleator,CA-AB,16662,0.018525
Empidonax minimus,CA-AB,38485,0.017874
Aythya affinis,CA-AB,57293,0.017511
Phalaropus tricolor,CA-AB,17889,0.017396
Chlidonias niger,CA-AB,17438,0.017216
Mareca americana,CA-AB,67289,0.016691
Acanthis flammea,CA-AB,28864,0.016534
Sitta canadensis,CA-AB,100144,0.016127
Aythya americana,CA-AB,39138,0.015668
Recurvirostra americana,CA-AB,24602,0.015607
Anthus spragueii,CA-AB,3079,0.015268
Sialia currucoides,CA-AB,17212,0.014882
Porzana carolina,CA-AB,23901,0.014572
Aythya valisineria,CA-AB,25495,0.014393
Limosa fedoa,CA-AB,13761,0.013738
Spatula discors,CA-AB,53614,0.013568
Centronyx bairdii,CA-AB,1611,0.013558
Spatula clypeata,CA-AB,63550,0.013533
Poecile atricapillus,CA-AB,226018,0.013418
Falco columbarius,CA-AB,31234,0.013191
Gallinago delicata,CA-AB,32830,0.013020
Calcarius ornatus,CA-AB,3113,0.012277
Melospiza lincolnii,CA-AB,32336,0.011542
Accipiter gentilis,CA-AB,5513,0.011471
Leiothlypis peregrina,CA-AB,24637,0.011172
Spinus pinus,CA-AB,55649,0.010792
Passerculus sandwichensis,CA-AB,56696,0.010691
Fulica americana,CA-AB,70378,0.010585
